exp,exp_no,phyto,source,tp,datetime,date,time,plot_date,plot_datetime,mean_Fo,sd_Fo,mean_Fm,sd_Fm,mean_Fv,sd_Fv,mean_Fv_Fm,sd_Fv_Fm,mean_Fv_Fo,sd_Fv_Fo,mean_cells,sd_cells,mean_grn,sd_grn,mean_yel,sd_yel,mean_red,sd_red,mean_fsc,sd_fsc,mean_ssc,sd_ssc,poc_culture,sd_poc_culture,pon_culture,sd_pon_culture,poc_optics,sd_poc_optics,pon_optics,sd_pon_optics,mean_cn,sd_cn,wl,mean_cp,sd_cp,mean_ap,sd_ap,mean_bp,sd_bp,mean_abs_line_height,sd_abs_line_height,mean_chl_line_height,sd_chl_line_height
TP22-14,2,italic('T. pseudonana'),Culture,7,2022-05-18T21:00:00Z,2022-05-18,21:00:00,2022-11-27,2022-11-27T21:00:00Z,47.787499999999994,4.001517274734672,155.497,25.30310905797943,107.7095,21.303005996807116,0.6907,0.02460731598529181,2.2431,0.2579525537768524,602166.3333333334,38548.91791390951,0.8511956679373109,0.03002493719127243,1.540825356905457,0.01690432690471494,1.6516865725786447,0.02161181696207347,2.102446560764887,0.0100376297801544,1.44210554665027,0.02949378334683533,8295.532450527446,1074.7385173116963,1042.9362865099642,175.2989125840105,107.84192185685679,13.971600725052053,13.558171724629535,2.2788858635921363,9.437882141421582,1.3861844829416123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TP22-14,2,italic('T. pseudonana'),Culture,8,2022-05-18T23:00:00Z,2022-05-18,23:00:00,2022-11-27,2022-11-27T23:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,548449.3333333334,73565.21018343748,0.7887609032066845,0.01442505950640235,1.5013905987087626,0.0108724836496122,1.5776819838472749,0.01193307646648205,2.1142307570700805,0.00687369302239071,1.3499552319013752,0.02048501923333963,6989.085561497327,776.660375481441,1041.8074866310162,0.5142594772265946,90.85811229946525,10.096584881258732,13.54349732620321,0.00668537320394573,7.826933372716045,0.8736055919531912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TP22-14,2,italic('T. pseudonana'),Culture,9,2022-05-19T01:00:00Z,2022-05-19,01:00:00,2022-11-28,2022-11-28T01:00:00Z,36.5375,1.9678781720421628,123.387,12.364469175827963,86.8495,10.3965910037858,0.7031499999999999,0.01378858223313765,2.37275,0.15676557338905775,576752,46626.65452292283,0.7715525116693503,0.01588510039785858,1.4812879473002754,0.01817553883170746,1.5528144457038875,0.01199657979953596,2.094896318747985,0.01631160083346467,1.3223604563061102,0.0196315951928734,6114.398816130227,894.7440423976349,910.9302794874384,119.57288703840848,79.48718460969295,11.631672551169252,11.842093633336699,1.5544475314993103,7.91158923842358,1.3944260050508115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TP22-14,2,italic('T. pseudonana'),Culture,10,2022-05-19T03:00:00Z,2022-05-19,03:00:00,2022-11-28,2022-11-28T03:00:00Z,31.6655,4.732665686481564,107.234,11.612107560645482,75.5685,6.8794418741639305,0.7053499999999999,0.01223294731452726,2.397,0.14099709216859777,581120,76460.67195624165,0.7401845386054421,0.01832903908698502,1.4771885199900563,0.01248196207974465,1.531207765119846,0.00957488445651377,2.0204893645617292,0.01747853531757915,1.295555191029983,0.01730547450482753,3343.895173453997,1157.5405208335203,746.0714485224289,304.3932013618497,43.47063725490196,15.048026770835763,9.698928830791575,3.957111617704046,6.108114469777445,3.442150955396171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TP22-14,2,italic('T. pseudonana'),Culture,11,2022-05-19T05:00:00Z,2022-05-19,05:00:00,2022-11-28,2022-11-28T05:00:00Z,24.1905,2.2507208845167805,91.6675,6.709736246679152,67.477,4.459015362162367,0.7363,0.00523259018078042,2.79295,0.07544829355260463,610942,138698.41513514132,0.708366224696166,0.00784231880141172,1.4691841394362768,0.00524498784752939,1.517966998171125,0.00411117741181249,1.940804441328002,0.00677219531726006,1.283567118036211,0.0056072929652522,2993.5896696536843,509.0391924065917,688.4161417206401,124.0426435855773,38.91666570549789,6.617509501285692,8.94940984236832,1.6125543666125048,5.249479749954126,1.5412291011563035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TP22-14,2,italic('T. pseudonana'),Culture,12,2022-05-19T07:00:00Z,2022-05-19,07:00:00,2022-11-28,2022-11-28T07:00:00Z,27.914,0.11030865786510308,111.697,5.6709963851161085,83.783,5.560687727251013,0.7498,0.01173797256769665,3.00115,0.18731258633631637,649718.3333333334,50831.99860652081,0.6919896506536622,0.0120467295395651,1.46023961110357,0.01144974542282878,1.5192914710735492,0.00544648069538714,1.883695804878936,0.0090024373154603,1.2713809281839423,0.01243899588737111,2153.5255670895813,422.0886635967691,691.4742111022389,297.23146112397507,27.995832372164557,5.487152626757998,8.989164744329106,3.864008994611676,4.16522186377853,1.965493104298765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TP22-14,2,italic('T. pseudonana'),Culture,13,2022-05-19T09:00:00Z,2022-05-19,09:00:00,2022-11-28,2022-11-28T09:00:00Z,19.351,1.5853334034202402,82.44200000000001,4.959646963242442,63.091,3.374313559822209,0.76545,0.00516187950266177,3.2642,0.09305525240414976,481365.3333333333,32605.88783231233,0.6764388862087921,0.00910886550465746,1.4594491103652822,3.506183369776594e-4,1.4924594154239677,0.00654140674030478,1.8455000663265944,0.00845778652598535,1.262971193717682,0.00784050186780188,2507.172657161558,720.0302796819194,768.2543612510316,132.43398068633005,32.593244543100255,9.360393635864952,9.98730669626341,1.7216417489222906,3.771954101510826,0.5689793128435265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,1,2022-08-16T09:00:00Z,2022-08-16,09:00:00,2022-11-27,2022-11-27T09:00:00Z,40.6635,2.510936179993432,68.5445,4.263146783773693,27.8805,1.7515034969990784,0.40675,2.1213203435594088e-4,0.6856,7.071067811865482e-4,7460907.5,388728.4174233986,1.477723856127181,0.00553175006303788,1.2866895989088647,0.00490506322673057,0.4234077385755477,0.00197583795814,1.6465998823416557,0.02464821627615186,2.1945415224369453,0.00203553278336909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,2,2022-08-16T11:00:00Z,2022-08-16,11:00:00,2022-11-27,2022-11-27T11:00:00Z,43.6035,0.8464068170802943,59.369,2.8072139213105927,15.7655,1.9608071042302972,0.2651,0.02050609665440989,0.3612,0.03790092347159897,7400570,272328.03463837504,1.531183730566092,0.00567677562376091,1.3307510445729371,0.00174370918360971,0.43047852390778096,0.00291935002848754,1.6322479722922676,0.02608752227365426,2.1707136110492073,0.01321150479770291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,3,2022-08-16T13:00:00Z,2022-08-16,13:00:00,2022-11-27,2022-11-27T13:00:00Z,42.2545,5.620791803651865,54.7325,7.9528299680051,12.478000000000002,2.3320381643532335,0.2273,0.00961665222413704,0.29425,0.01605132393293462,6982855,36946.32931699711,1.5613144101193883,0.01212377680879327,1.3139013094484375,0.0438824929539265,0.4253701708857443,0.00762777899608152,1.6848170710233397,0.01934002829348399,2.177366659129996,0.0046388825817463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
