phyto,wl,var1,var2,cor,statistic,p,method
o_lucimarinus,470,ap,ap,1,3.637090628672013e-13,0,Spearman
o_lucimarinus,532,ap,ap,1,3.637090628672013e-13,0,Spearman
o_lucimarinus,660,ap,ap,1,3.637090628672013e-13,0,Spearman
o_lucimarinus,470,ap,cp,0.77,754.0000000000003,5.61e-6,Spearman
o_lucimarinus,532,ap,cp,0.73,880.0000000000001,2.46e-5,Spearman
o_lucimarinus,660,ap,cp,0.56,1438.0000000000002,0.00274,Spearman
o_lucimarinus,470,ap,bbp,0.21,2588.0000000000005,0.292,Spearman
o_lucimarinus,532,ap,bbp,0.56,1446.0000000000002,0.00288,Spearman
o_lucimarinus,660,ap,bbp,0.22,2562,0.274,Spearman
o_lucimarinus,470,ap,bb_b,-0.67,5480,1.75e-4,Spearman
o_lucimarinus,532,ap,bb_b,-0.47,4805.999999999999,0.0149,Spearman
o_lucimarinus,660,ap,bb_b,-0.32,4314,0.108,Spearman
o_lucimarinus,470,ap,cells,0.85,476.00000000000017,1.56e-6,Spearman
o_lucimarinus,532,ap,cells,0.8,664.0000000000001,2.44e-6,Spearman
o_lucimarinus,660,ap,cells,0.86,444.0000000000002,1.49e-6,Spearman
o_lucimarinus,470,ap,fsc,0.08,2690.959989740667,0.698,Spearman
o_lucimarinus,532,ap,fsc,0.12,2579.941010515086,0.566,Spearman
o_lucimarinus,660,ap,fsc,0.077,2700.961699580809,0.71,Spearman
o_lucimarinus,470,ap,ssc,0.52,1404.7401042983486,0.0065,Spearman
o_lucimarinus,532,ap,ssc,0.51,1419.7426690585623,0.00715,Spearman
o_lucimarinus,660,ap,ssc,0.53,1380.7360006820065,0.00557,Spearman
o_lucimarinus,470,ap,poc_optics,0.81,87.99999999999999,8.1e-4,Spearman
o_lucimarinus,532,ap,poc_optics,0.76,109.99999999999996,0.00252,Spearman
o_lucimarinus,660,ap,poc_optics,0.78,100,0.00158,Spearman
o_lucimarinus,470,ap,poc_cell,0.099,410,0.739,Spearman
o_lucimarinus,532,ap,poc_cell,0.15,386,0.605,Spearman
o_lucimarinus,660,ap,poc_cell,0.11,404,0.704,Spearman
o_lucimarinus,470,ap,cn,0.5,226,0.0694,Spearman
o_lucimarinus,532,ap,cn,0.42,263.99999999999994,0.137,Spearman
o_lucimarinus,660,ap,cn,0.46,246.00000000000003,0.101,Spearman
o_lucimarinus,470,ap,c_chl,0.55,206.00000000000003,0.0459,Spearman
o_lucimarinus,532,ap,c_chl,0.49,232,0.0779,Spearman
o_lucimarinus,660,ap,c_chl,0.51,222.00000000000003,0.0641,Spearman
o_lucimarinus,470,ap,chl_line_height,0.94,212.00000000000034,5.62e-7,Spearman
o_lucimarinus,532,ap,chl_line_height,0.87,410.0000000000004,1.38e-6,Spearman
o_lucimarinus,660,ap,chl_line_height,0.95,150.00000000000054,3.3e-7,Spearman
o_lucimarinus,470,ap,chl_cell,-0.27,4150,0.178,Spearman
o_lucimarinus,532,ap,chl_cell,-0.23,4030,0.247,Spearman
o_lucimarinus,660,ap,chl_cell,-0.23,4020,0.253,Spearman
