exp,exp_no,phyto,source,tp,date,time,plot_date,plot_datetime,bottle,wl,count,count_se,slope,beta,ap,cp,bp,beta_corr,bbp,bb_b
TP22-14,2,italic('T. Pseudonana'),Optics,1,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,A,470,32,1.2223229807983464,1.2418143084928173e-5,3.9738057871770155e-4,0.0239866675973557,0.45381405622641513,0.42982738862905945,4.0043635383703e-4,0.002816428103187186,0.006552463099594987
TP22-14,2,italic('T. Pseudonana'),Optics,1,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,B,470,21,0.9551112640854893,1.2418143084928173e-5,2.6078100478349166e-4,0.01877606402323357,0.3384989526415094,0.3197228886182759,2.6228077836077583e-4,0.0018447250056665271,0.005769762101295739
TP22-14,2,italic('T. Pseudonana'),Optics,1,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,C,470,14,1.0641266686151316,1.2418143084928173e-5,1.7385400318899443e-4,0.0190238168161035,0.23594170764150932,0.2169178908254058,1.7457462696689253e-4,0.0012278527680658058,0.005660449506463657
TP22-14,2,italic('T. Pseudonana'),Optics,1,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,A,532,69.5,0.8300528628358803,6.072827119596022e-6,4.220614848119235e-4,0.01015265643599125,0.42849781436170215,0.41834515792571086,4.250007311033271e-4,0.002989199136104562,0.007145293974300953
TP22-14,2,italic('T. Pseudonana'),Optics,1,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,B,532,45,0.8121136740189882,6.072827119596022e-6,2.7327722038182097e-4,0.00884211219907166,0.3193589490425532,0.3105168368434815,2.7470257011703934e-4,0.0019320924064008713,0.006222182429916861
TP22-14,2,italic('T. Pseudonana'),Optics,1,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,C,532,35,0.6385379556018722,6.072827119596022e-6,2.1254894918586075e-4,0.00901299750563621,0.2204845330851064,0.21147153557947015,2.1332826593356043e-4,0.0015004225206385559,0.007095151205703063
TP22-14,2,italic('T. Pseudonana'),Optics,1,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,A,660,67.5,0.8882728023690534,6.045767611476665e-6,4.080893137746749e-4,0.01331462155494174,0.35737540934736584,0.3440607877924241,4.1050486046763e-4,0.0028872439138892514,0.008391668031729206
TP22-14,2,italic('T. Pseudonana'),Optics,1,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,B,660,38.5,0.968698981396974,6.045767611476665e-6,2.327620530418516e-4,0.01310495757756049,0.26069131086494784,0.24758635328738732,2.337848749250102e-4,0.0016443019858952963,0.006641327213970727
TP22-14,2,italic('T. Pseudonana'),Optics,1,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,C,660,31,0.9428421808665615,6.045767611476665e-6,1.8741879595577662e-4,0.01313872362969291,0.16979524155741912,0.15665651792772622,1.8797509777240793e-4,0.0013221036077084847,0.008439505902451117
TP22-14,2,italic('T. Pseudonana'),Optics,2,2022-05-18,11:00:00,2022-11-27,2022-11-27T11:00:00Z,A,470,21,0.6623784575729793,1.2418143084928173e-5,2.6078100478349166e-4,0.02483330733551514,0.39703111188679246,0.3721978045512773,2.625582990418037e-4,0.0018466769189675375,0.0049615470494080325
TP22-14,2,italic('T. Pseudonana'),Optics,2,2022-05-18,11:00:00,2022-11-27,2022-11-27T11:00:00Z,B,470,22,1.5221244184027922,1.2418143084928173e-5,2.7319914786841983e-4,0.02210422262369362,0.2851946221698113,0.2630903995461177,2.7456280087486724e-4,0.0019311093537438318,0.007340098145258712
TP22-14,2,italic('T. Pseudonana'),Optics,2,2022-05-18,11:00:00,2022-11-27,2022-11-27T11:00:00Z,C,470,15,0.8979688465775698,1.2418143084928173e-5,1.862721462739226e-4,0.02093393177243517,0.31996014254716976,0.2990262107747346,1.8729858281459188e-4,0.001317345409005589,0.004405451300046687
TP22-14,2,italic('T. Pseudonana'),Optics,2,2022-05-18,11:00:00,2022-11-27,2022-11-27T11:00:00Z,A,532,47,0.46383998809442434,6.072827119596022e-6,2.85422874621013e-4,0.00966115640315181,0.3760777555287234,0.3664165991255715,2.8717171817222294e-4,0.002019792882815941,0.005512285435856455
TP22-14,2,italic('T. Pseudonana'),Optics,2,2022-05-18,11:00:00,2022-11-27,2022-11-27T11:00:00Z,B,532,40,0.7151031736886697,6.072827119596022e-6,2.4291308478384087e-4,0.00966503934518478,0.2695545047840426,0.25988946543885777,2.4399464488274772e-4,0.00171611135774806,0.006603235551891951
TP22-14,2,italic('T. Pseudonana'),Optics,2,2022-05-18,11:00:00,2022-11-27,2022-11-27T11:00:00Z,C,532,38,0.8471641368884378,6.072827119596022e-6,2.3076743054464884e-4,0.0093073410806207,0.30621838414574465,0.29691104306512395,2.3192592106774178e-4,0.0016312272242359946,0.005493993107821874
TP22-14,2,italic('T. Pseudonana'),Optics,2,2022-05-18,11:00:00,2022-11-27,2022-11-27T11:00:00Z,A,660,41,0.6533003091923233,6.045767611476665e-6,2.4787647207054326e-4,0.0146328821685271,0.3065611730053697,0.29192829083684263,2.4915331496729666e-4,0.001752394335709416,0.006002824634385371
TP22-14,2,italic('T. Pseudonana'),Optics,2,2022-05-18,11:00:00,2022-11-27,2022-11-27T11:00:00Z,B,660,36,2.3561285600787167,6.045767611476665e-6,2.1764763401315996e-4,0.01385019969682454,0.21127705774571456,0.19742685804889,2.1843897746724587e-4,0.001536368187041793,0.007781961391804822
TP22-14,2,italic('T. Pseudonana'),Optics,2,2022-05-18,11:00:00,2022-11-27,2022-11-27T11:00:00Z,C,660,36,1.1442077781932405,6.045767611476665e-6,2.1764763401315996e-4,0.01281130593602492,0.25225006364264607,0.23943875770662112,2.1857367467482258e-4,0.0015373155660627156,0.00642049591631424
TP22-14,2,italic('T. Pseudonana'),Optics,3,2022-05-18,13:00:00,2022-11-27,2022-11-27T13:00:00Z,A,470,23.5,0.784757859444035,1.2418143084928173e-5,2.918263624958121e-4,0.03409215156790878,0.491197547235849,0.4571053956679403,2.943121997773532e-4,0.002070014729234922,0.00452852831940462
TP22-14,2,italic('T. Pseudonana'),Optics,3,2022-05-18,13:00:00,2022-11-27,2022-11-27T13:00:00Z,B,470,14,0.9702198362290089,1.2418143084928173e-5,1.7385400318899443e-4,0.03140053820721264,0.3470860551603773,0.3156855169531647,1.7492913820939496e-4,0.0012303461865996435,0.003897379260456153
TP22-14,2,italic('T. Pseudonana'),Optics,3,2022-05-18,13:00:00,2022-11-27,2022-11-27T13:00:00Z,C,470,13,1.0610015852106922,1.2418143084928173e-5,1.6143586010406626e-4,0.02786199550249829,0.3410425795,0.31318058399750165,1.6240536470452e-4,0.0011422615076760207,0.003647293497878952
TP22-14,2,italic('T. Pseudonana'),Optics,3,2022-05-18,13:00:00,2022-11-27,2022-11-27T13:00:00Z,A,532,48.5,0.529026830846132,6.072827119596022e-6,2.9453211530040704e-4,0.01124649475251251,0.4828418284478723,0.47159533369535983,2.968430465629289e-4,0.0020878151810257133,0.00442713282310464
TP22-14,2,italic('T. Pseudonana'),Optics,3,2022-05-18,13:00:00,2022-11-27,2022-11-27T13:00:00Z,B,532,30.5,0.5973529001327103,6.072827119596022e-6,1.8522122714767866e-4,0.01141425223438093,0.33434765377978726,0.32293340154540634,1.8624218725107528e-4,0.001309915358949791,0.004056301864970165
TP22-14,2,italic('T. Pseudonana'),Optics,3,2022-05-18,13:00:00,2022-11-27,2022-11-27T13:00:00Z,C,532,29,0.787074649750029,6.072827119596022e-6,1.7611198646828464e-4,0.01069794443023556,0.3313278171840425,0.32062987275380694,1.770713963200562e-4,0.0012454135397241366,0.0038842716962945536
TP22-14,2,italic('T. Pseudonana'),Optics,3,2022-05-18,13:00:00,2022-11-27,2022-11-27T13:00:00Z,A,660,43.5,1.097711905998759,6.045767611476665e-6,2.6299089109923493e-4,0.01665877456929057,0.4069649064030094,0.3903061318337189,2.6477360575997755e-4,0.0018622580519951932,0.0047712754171860315
TP22-14,2,italic('T. Pseudonana'),Optics,3,2022-05-18,13:00:00,2022-11-27,2022-11-27T13:00:00Z,B,660,19.5,0.7402121747071021,6.045767611476665e-6,1.1789246842379498e-4,0.01579138039780457,0.2593189210439226,0.24352754064611803,1.1841544222684507e-4,8.328628910519866e-4,0.0034199946701809016
