exp,exp_no,phyto,source,bottle,tp,datetime,date,time,plot_date,plot_datetime,wl,cp,c_se,ap,a_se,bp,abs_line_height,chl_line_height
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,400,0.479143076040572,4.293668801563174e-4,0.0318243772233345,8.820695906320442e-4,0.4473186988172375,0.01889847007085038,2.2070335764893128
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,404.6,0.474930585540572,3.8293716504988605e-4,0.0337583379788575,6.884915450510794e-4,0.44117224756171447,0.01889847007085038,2.2070335764893128
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,408.7,0.4740281025,3.385364992431746e-4,0.0341874288807653,6.911533188469907e-4,0.4398406736192347,0.01889847007085038,2.2070335764893128
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,412.5,0.469956763260143,3.272327357289322e-4,0.036131470614312,4.5728844144514127e-4,0.43382529264583103,0.01889847007085038,2.2070335764893128
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,416.9,0.467450815,2.7850591766780667e-4,0.0360357456540725,3.811450925485042e-4,0.43141506934592755,0.01889847007085038,2.2070335764893128
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,421.4,0.46574030625,2.675993129700663e-4,0.0364602062695709,3.138017444623813e-4,0.4292800999804291,0.01889847007085038,2.2070335764893128
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,426.5,0.4619819336,2.567613208062795e-4,0.0385277615189585,0.0010068297836069698,0.4234541720810415,0.01889847007085038,2.2070335764893128
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,430.9,0.462018595,2.6361445917342055e-4,0.038728446353684,0.0016982376775763637,0.423290148646316,0.01889847007085038,2.2070335764893128
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,435.5,0.4572222925,2.681916279059406e-4,0.0407737780734309,3.367920774961708e-4,0.4164485144265691,0.01889847007085038,2.2070335764893128
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,439.8,0.4573456725,2.3795734998919514e-4,0.0405061032090524,3.8998132714192875e-4,0.4168395692909476,0.01889847007085038,2.2070335764893128
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,444.8,0.45837383125,2.4300162042860531e-4,0.0366826872521692,1.7001151665637547e-4,0.42169114399783075,0.01889847007085038,2.2070335764893128
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,449.9,0.4580276175,2.3189384033062632e-4,0.0339757854175151,1.6825072951026025e-4,0.42405183208248487,0.01889847007085038,2.2070335764893128
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,455,0.458623885,2.374161460361206e-4,0.0301912722042954,4.8535546261191734e-4,0.4284326127957046,0.01889847007085038,2.2070335764893128
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,459.4,0.4579627725,2.458985753435532e-4,0.0273307771725556,1.4974593869990316e-4,0.4306319953274444,0.01889847007085038,2.2070335764893128
