tp,wl,mean_ap,sd_ap
1,400,0.08922117031144666,0.00915295464769824
1,404.6,0.09355185864478,0.00972583722762141
1,408.7,0.09772735370494266,0.00965367501115103
1,412.5,0.10169995389823532,0.00866210002840661
1,416.9,0.10649628370494268,0.00781926901744195
1,421.4,0.11077457620494267,0.00759199777489985
1,426.5,0.11499746870494268,0.00796871557866617
1,430.9,0.11901368120494268,0.00870173546168471
1,435.5,0.12138413787160932,0.00813409139647804
1,439.8,0.12081096037160934,0.00762960499037347
1,444.8,0.11822745287160934,0.00848978090495221
1,449.9,0.112908917038276,0.00757491343744703
1,455,0.10779496120494264,0.00702888456752977
1,459.4,0.10395602037160934,0.00712485314550594
1,463.8,0.10137220120494268,0.00697434218815226
1,468.7,0.099657909538276,0.00688920900727
1,470,0.09924033032443952,0.00680578282452175
1,474,0.09795547120494268,0.00658105049521802
1,479.2,0.095765522038276,0.00645060408924439
1,484.1,0.092218852038276,0.0057187519337918704
1,489.2,0.086609609538276,0.00578382247639768
1,493.9,0.07899788245494267,0.0057171352472753
1,498.9,0.07071760537160933,0.00510210961460729
1,503.8,0.06325859703827601,0.00485279268920879
1,508.7,0.05671803614478,0.00450084208875232
1,514,0.05075041531144667,0.00424879046685932
1,519.7,0.04533366322811333,0.00403894137997866
1,524.8,0.04058154822811333,0.00366270270411677
1,529.9,0.036467509538276,0.00346916534646975
1,532,0.034960357038276,0.00339996523146818
1,534.6,0.03309435870494267,0.00331453734217002
1,539.6,0.03019522120494263,0.00315082208826874
1,544.4,0.02768152370494263,0.00294475742681511
1,549.7,0.02559533703827596,0.00275339801368532
1,554.6,0.02387128870494263,0.00278731725460415
1,560.1,0.02252374953827596,0.00246474746174627
1,565.2,0.02150759120494263,0.00243356699802066
1,569.8,0.02095358162160933,0.00237582271160899
1,574.2,0.02068137406144663,0.00239626345761929
1,579,0.02048114944803196,0.00222650441726781
1,583.4,0.02040088685778793,0.00222786838894978
1,587.8,0.02028336741014553,0.0021407136930018
1,592.7,0.02006591994790966,0.00218296850435128
1,597.4,0.0197875172648607,0.00211509758074592
1,602.1,0.01940850143664923,0.00200541622828538
1,607,0.01909175101998256,0.00194628738324421
1,612,0.01881466191347856,0.00188755276835431
1,616.9,0.01868034693587713,0.00176872641507296
1,621.9,0.0187454861927878,0.00182545973080678
1,626.5,0.0190330764411213,0.0017768920772149
1,631.2,0.0196996738707149,0.00167144273416262
1,635.8,0.0207776042822597,0.00170571345086219
1,640.8,0.02214577828827596,0.0016702235512406501
1,645.3,0.0231581591216093,0.00171071552816851
1,650.2,0.02368831787160933,0.00163114759841873
1,654.9,0.02442187364477996,0.00150727929784507
1,659.3,0.02648773198067423,0.0015719302381272
1,660,0.02705951555808589,0.00157539150356794
1,663.9,0.03024516691795059,0.00159761115625495
1,668.8,0.03470734781144666,0.00170488192542021
1,673.2,0.03789295370494267,0.0018114340994065
1,677.6,0.03797293709843866,0.0016933937232815
1,681.9,0.034352355431772,0.00161737729582182
1,686.1,0.02778689613709717,0.00138505844201894
1,690,0.02059726620494263,0.00122857950566516
1,693.9,0.01463765371262543,0.00108484914843096
1,697.8,0.01059103391616179,8.872969074755339e-4
1,701.8,0.0080072974255111,8.461179545547334e-4
1,705.5,0.00651179690900653,8.820560866557383e-4
1,709.1,0.0055534362344125,7.203830327066104e-4
1,712.8,0.00513760480201333,7.877721682813396e-4
1,716.6,0.0049675257518498,7.093672084633328e-4
1,719.8,0.00499629721884059,8.518987942210295e-4
1,723.2,0.00527081895209146,8.103327152998617e-4
1,726.5,0.00542128331591133,7.763705890757014e-4
1,729.4,0.00568461548566643,8.39552314960781e-4
1,732.3,0.00562087040375503,7.260128413724516e-4
1,735.3,0.0055135168502584,5.090667836651229e-4
1,738.3,0.00543259468948573,4.225082627587366e-4
1,741.3,0.0049632913484696,2.855189520293394e-4
1,744.2,0.0044296722240391,2.226344036846901e-4
1,746.7,0.00382941924655996,2.9285801815033015e-4
1,749.4,0.00314108618843071,1.6388489500938254e-4
2,400,0.086388387561182,0.00715745272486657
2,404.6,0.091013805061182,0.00500331078705816
2,408.7,0.09546705746691564,0.00685082801769967
2,412.5,0.099343719157149,0.00634232423077342
2,416.9,0.10403623413358232,0.00590335093162388
2,421.4,0.10859005746691568,0.00582130528764657
2,426.5,0.11310624413358232,0.00606587853320765
2,430.9,0.117147988300249,0.00610425131985382
2,435.5,0.11952602413358232,0.00593104617804866
2,439.8,0.11889153746691566,0.00591110700978495
2,444.8,0.116144558300249,0.00535554467444415
2,449.9,0.11100190996691568,0.00582332984921225
2,455,0.10615054163358234,0.00456202524539793
2,459.4,0.102761675800249,0.00443532862420019
2,463.8,0.100316173300249,0.00419760308815921
2,468.7,0.098303810800249,0.00460203446309155
2,470,0.09794164388201,0.00436817005552645
2,474,0.09682728413358233,0.00365986608762097
2,479.2,0.094530993300249,0.00372332693487926
2,484.1,0.09083747663358233,0.00353960989899466
2,489.2,0.08556965246691567,0.00342916043688172
2,493.9,0.07804313621691567,0.00337673313089742
2,498.9,0.06980039246691568,0.00303910922550673
2,503.8,0.06240211246691566,0.00248635233982186
2,508.7,0.05580475839451534,0.00223483779405139
2,514,0.04974105089451533,0.00180355647413144
2,519.7,0.04429245714451533,0.00150199588906272
2,524.8,0.03949482297784867,0.00114695132589573
2,529.9,0.035422513300249,9.594540843709708e-4
2,532,0.03392976776833413,9.269877190229646e-4
2,534.6,0.0320816066335824,8.928393945725081e-4
2,539.6,0.02917344996691576,5.857005500382995e-4
2,544.4,0.0267184591335824,5.628477922914219e-4
