tp,wl,mean_ap,sd_ap
1,400,0.14438838846850433,0.00280574304577873
1,404.6,0.14980167430183766,0.0077544861737346
1,408.7,0.15446196147043434,0.00937842855991131
1,412.5,0.16247555113661868,0.0113508829261026
1,416.9,0.1718532848037677,0.00940079220061501
1,421.4,0.18014401480376763,0.01556932044133137
1,426.5,0.18886152647043433,0.01586866630590161
1,430.9,0.19746657897043432,0.01714696277726572
1,435.5,0.20166896230376768,0.01719466744787312
1,439.8,0.20090347397043432,0.01881612246152348
1,444.8,0.19486577980376765,0.01960195795330019
1,449.9,0.18564795897043432,0.01915380097572959
1,455,0.17719570647043434,0.01780009502840936
1,459.4,0.17144710897043433,0.01664481521650047
1,463.8,0.16699446813710098,0.01569982706282715
1,468.7,0.16319661147043432,0.01602514624345856
1,470,0.1624603442062834,0.01561160264806192
1,474,0.16019490647043433,0.0143412094765777
1,479.2,0.159863985637101,0.01300199707887849
1,484.1,0.16260460647043432,0.01261727282458672
1,489.2,0.16646032397043434,0.01206166817929261
1,493.9,0.165520840637101,0.01128912193868669
1,498.9,0.15492860647043433,0.01085834027066477
1,503.8,0.13741096147043433,0.00970724460967806
1,508.7,0.117525827635171,0.00828330763751363
1,514,0.09939976680183768,0.0076523860857023
1,519.7,0.08563062596850433,0.00685685955866404
1,524.8,0.076879232635171,0.00605227895241976
1,529.9,0.071852438137101,0.00562279682641858
1,532,0.07087958967965419,0.00553622787127093
1,534.6,0.069675110637101,0.00542920906097847
1,539.6,0.06810444647043433,0.00479014728550582
1,544.4,0.066040005637101,0.00442219553554129
1,549.7,0.062691240637101,0.00401255642432307
1,554.6,0.058416953137101,0.00358967643749357
1,560.1,0.05412434730376767,0.00322309055139076
1,565.2,0.05039551063710099,0.00334185985681887
1,569.8,0.047147223137101,0.00311560208616305
1,574.2,0.04360668930183767,0.00298005809189007
1,579,0.039639898634206,0.0027567226557364
1,583.4,0.036226396631311,0.00254080401019979
1,587.8,0.033672456427644,0.00234280975102556
1,592.7,0.03192964815817877,0.00306470079844791
1,597.4,0.03100520768697656,0.00294557343896705
1,602.1,0.03049658811780086,0.00265057927423726
1,607,0.03048728061780083,0.00245681336827216
1,612,0.03099444445306419,0.0023635653312956
1,616.9,0.03177124405779277,0.00230783499588778
1,621.9,0.03254155272735446,0.0021167600595961
1,626.5,0.03299005746464433,0.00210994516692272
1,631.2,0.03313125943439903,0.00207539162645389
1,635.8,0.0327643881702414,0.00189623857548517
1,640.8,0.03212156980376773,0.00183732831069537
1,645.3,0.03159310730376773,0.00178542776688614
1,650.2,0.03210412313710106,0.00173778854157285
1,654.9,0.03459037430183766,0.00163700007004672
1,659.3,0.03969963326725,0.00157503346103404
1,660,0.0408751711200458,0.00159835521967532
1,663.9,0.04742459629990767,0.00173076109731314
1,668.8,0.056105752635171,0.00165736472306878
1,673.2,0.06321304730376766,0.00169069177088413
1,677.6,0.06642085947236433,0.00173134098243652
1,681.9,0.06421635947236433,0.00143134171001913
1,686.1,0.05641584740560133,0.00150508185527839
1,690,0.04539972147043433,0.00114595148314512
1,693.9,0.03403921920000433,9.27906761882771e-4
1,697.8,0.02452332639450363,5.491769506723615e-4
1,701.8,0.01745172188678356,3.5170241039913234e-4
1,705.5,0.01278167593955406,5.186867937804589e-4
1,709.1,0.00984231059126306,6.586569663773092e-4
1,712.8,0.008089809537375,8.757501953864269e-4
1,716.6,0.00727191644503906,0.00121709590990025
1,719.8,0.00699345371724673,8.672306052318054e-4
1,723.2,0.0071811584846294,0.00121434296345453
1,726.5,0.00753874678418733,0.00141244810381933
1,729.4,0.0076777805242197,0.00142220135732527
1,732.3,0.00796234233487526,7.6931397927853e-4
1,735.3,0.00806470788378576,0.00126209945490197
1,738.3,0.00848211070795146,5.430397895855949e-4
1,741.3,0.00837368464504836,4.729010094577789e-4
1,744.2,0.00809057655575996,2.5331527927442547e-4
1,746.7,0.0076506366365158,7.094977394329902e-4
1,749.4,0.00686774032537773,0.00126632728790961
2,400,0.147890455155748,0.02244231621406006
2,404.6,0.154285545155748,0.01251249549513488
2,408.7,0.16439644324121933,0.00762356486383521
2,412.5,0.17440750996985166,0.00621259900844444
2,416.9,0.18472873407455268,0.01122692395830125
2,421.4,0.19356563157455267,0.01047554833651518
2,426.5,0.202835929907886,0.01412923950917002
2,430.9,0.21066113157455268,0.0154274356085053
2,435.5,0.21494423574121935,0.01540631206540509
2,439.8,0.213968197407886,0.01756758206923889
2,444.8,0.206672824907886,0.014218366913493201
2,449.9,0.197050937407886,0.01273952779955299
2,455,0.187291562407886,0.01285123317506773
2,459.4,0.18085552157455267,0.011663112365153
2,463.8,0.17648532490788602,0.01026932866400513
2,468.7,0.17165550074121935,0.00820241699844716
2,470,0.1709542398607162,0.00757756136773109
2,474,0.16879651407455265,0.00571047943221757
2,479.2,0.16829172074121934,0.00429913140134988
2,484.1,0.1716667157412193,0.00293241003018559
2,489.2,0.175778299907886,8.546720967025525e-4
2,493.9,0.17432396407455267,5.661629607756012e-4
2,498.9,0.162677267407886,0.0015181921031544
2,503.8,0.14328230157455266,0.0023890570473021
2,508.7,0.12200169848908134,0.00296962143434937
2,514,0.102792225155748,0.00313248050912953
2,519.7,0.08802957682241468,0.00335393792676693
2,524.8,0.078488532655748,0.00401845020316283
2,529.9,0.07317095324121933,0.00399513613135458
2,532,0.07209163217738955,0.0041354282235039
2,534.6,0.07075532990788601,0.00430928451063645
2,539.6,0.069044944907886,0.00445965274644489
2,544.4,0.06687510907455267,0.00434640688600969
2,549.7,0.063667902407886,0.00398015999105384
2,554.6,0.05939853157455267,0.00390664821576312
2,560.1,0.05529066657455266,0.00341219121060323
2,565.2,0.05171205574121933,0.00316991932026382
2,569.8,0.04854726574121933,0.00291766069668606
2,574.2,0.04499219848908133,0.00256942110180067
2,579,0.04094296361301233,0.00205019299171622
2,583.4,0.037477031484805,0.00178924237370953
2,587.8,0.03485269945574267,0.00152957497307351
2,592.7,0.03264990898180927,9.852755478907925e-4
2,597.4,0.0316058670642848,0.00101016518673544
2,602.1,0.03101577238650533,0.00104907985025684
2,607,0.03099701571983866,0.00133773562951629
2,612,0.0315055496386434,0.00131862282625674
2,616.9,0.03232547236471497,0.0014035654924301
2,621.9,0.0330942069929221,0.00154005639908633
2,626.5,0.03354527815147166,0.00168338365503273
2,631.2,0.03363795025489267,0.00151660956463398
2,635.8,0.03320554076600553,0.00152755970304811
2,640.8,0.03259484574121937,0.00158682435619211
2,645.3,0.03208621657455266,0.00172841528171763
2,650.2,0.03261293740788603,0.0020252602095147
2,654.9,0.035258367655748,0.0020643274456187
2,659.3,0.04079300865019166,0.00218310340437402
2,660,0.04204710710542207,0.00226078361948735
2,663.9,0.04903422707027666,0.00273323213374954
2,668.8,0.05831687682241466,0.00299518660207921
2,673.2,0.06590995657455266,0.00313135399221309
2,677.6,0.06936343549335734,0.00316893431190702
2,681.9,0.06700062549335734,0.00315330818349967
2,686.1,0.05873581967241733,0.00285314687138012
2,690,0.04700196824121933,0.00234676263090674
2,693.9,0.03506079372455,0.00197676265206718
2,697.8,0.0250642385976233,0.00163135901962453
2,701.8,0.01768736125573766,0.00180665435315478
2,705.5,0.0128615513736769,0.00148732560471791
2,709.1,0.00982501496127353,0.00112248855587959
2,712.8,0.0081776409343364,9.91527350070157e-4
2,716.6,0.0074467617309001,6.545418938478201e-4
2,719.8,0.0072338319667785,3.2651861966548145e-4
2,723.2,0.00744718782231183,4.5475938047034674e-4
2,726.5,0.00807261799322893,7.147393398250513e-4
2,729.4,0.00820407141372353,2.7367280634848503e-4
2,732.3,0.00842674515943453,5.956637934706524e-4
2,735.3,0.0085490599397643,0.0017542156492809
2,738.3,0.0085549811171085,0.00250230156122543
2,741.3,0.0075033523004444,0.00365878674108616
2,744.2,0.006657619258144,0.00496008343614935
2,746.7,0.00517982328208523,0.00610189049215348
2,749.4,0.00404714543167306,0.00843402478799496
3,400,0.155845017921779,0.02411201888707817
3,404.6,0.160925675421779,0.03276624742080313
3,408.7,0.16931712904001264,0.03962890725362811
3,412.5,0.17794388792712099,0.04422480028656979
3,416.9,0.187269509873346,0.04723488308221635
3,421.4,0.19565719820667937,0.04930819859056034
3,426.5,0.20388523820667936,0.05473080402132926
3,430.9,0.2121739032066793,0.05470897930123555
3,435.5,0.21793174904001267,0.05445391444865809
3,439.8,0.217150549873346,0.05336034028425197
3,444.8,0.210298882373346,0.05084642760677168
3,449.9,0.200376504873346,0.04690709115767238
3,455,0.190931317373346,0.04403201597399425
3,459.4,0.184947252373346,0.04066737713372422
3,463.8,0.180119462373346,0.03803012262444881
3,468.7,0.17533778154001267,0.03528791899541438
3,470,0.17459337353686802,0.03466301582238475
3,474,0.172302887373346,0.03277074623816358
3,479.2,0.17191168654001265,0.03037348591628867
3,484.1,0.174853639873346,0.02880818813413054
3,489.2,0.17879008570667934,0.02844052819406329
3,493.9,0.176956689873346,0.02660740760614897
3,498.9,0.165474244873346,0.02350013537642255
3,503.8,0.14585776570667933,0.02068156805174819
3,508.7,0.124071310421779,0.01795873627144345
3,514,0.104644452921779,0.01508863976847963
3,519.7,0.08981581958844566,0.01267426029848178
3,524.8,0.07994834208844566,0.01086362647211577
3,529.9,0.07445172070667934,0.00954461820755775
3,532,0.07317436033433891,0.00933753241882988
3,534.6,0.07159286654001266,0.00908530296016866
3,539.6,0.06981490820667934,0.00808986617482255
3,544.4,0.06751477154001266,0.00778678341347803
3,549.7,0.064281024873346,0.00743167506075698
3,554.6,0.060067047373346,0.00692652452775393
3,560.1,0.05598658154001266,0.00646487106528306
3,565.2,0.05236658904001267,0.00621447682162561
3,569.8,0.04920507154001266,0.00608983019969545
3,574.2,0.045657810421779,0.00575417452625598
3,579,0.041788109029329,0.0053369657096786
3,583.4,0.038264223185312,0.00516820367238409
3,587.8,0.035657816560668,0.00470053182853678
3,592.7,0.033433960605896,0.00552138389813531
3,597.4,0.03245223997804716,0.0051631885411692
3,602.1,0.0319074061910102,0.00465756901460798
3,607,0.03180367452434354,0.00456631344441553
3,612,0.03227956814257713,0.00456956566219257
3,616.9,0.03296725688224933,0.0047495578726567
3,621.9,0.03376022605959967,0.00459842509502366
3,626.5,0.034192853185312,0.0044278562946014
3,631.2,0.03428784047448566,0.00448905955879945
3,635.8,0.03379320676152266,0.00427005090772474
3,640.8,0.0331332723733459,0.00423516513317178
3,645.3,0.03252903820667923,0.00412990432810817
3,650.2,0.0329155023733459,0.00404400737587848
3,654.9,0.03544244458844566,0.00382307080620482
3,659.3,0.040773394361594,0.00416321611812812
3,660,0.04199259969696348,0.00424196057302602
3,663.9,0.04878531513687867,0.00469682753678295
3,668.8,0.05781892875511233,0.0053484510114273
3,673.2,0.06517660904001267,0.00604853243092707
3,677.6,0.068453175158246,0.006483050021683
3,681.9,0.06602630182491266,0.00629200561257636
3,686.1,0.05793323943566766,0.00542551295537644
3,690,0.04650038404001266,0.00424848810109644
3,693.9,0.03477886169279033,0.00312581346419676
3,697.8,0.02511641467249143,0.00204472985385272
3,701.8,0.01783960019955713,0.0013969772364888
3,705.5,0.01322647031494213,7.687256429384105e-4
3,709.1,0.01019440748196526,2.4115255008660616e-4
3,712.8,0.00871134857277776,1.6567427715529848e-4
3,716.6,0.0079483047002713,4.158837913197025e-4
3,719.8,0.00785816076437453,6.466592100409498e-4
3,723.2,0.00829961736622723,9.249633227602144e-4
3,726.5,0.00882224946380643,7.8804875981212e-4
3,729.4,0.00906865503218313,0.00109479972181132
3,732.3,0.00903813022627203,9.002957099282796e-4
3,735.3,0.00887024810518986,5.947075114574793e-4
3,738.3,0.0084207902935804,0.00133871087241249
3,741.3,0.0075155918074692,0.00206343766047532
3,744.2,0.00674329534699883,0.00256523733418273
3,746.7,0.00585436834343723,0.00344082424683116
3,749.4,0.00433359703645663,0.00533968176504343
4,400,0.162687964370081,0.01704406903733493
4,404.6,0.16497066270341434,0.01767506616343982
4,408.7,0.172904680056146,0.01663344974782074
4,412.5,0.18235239592629637,0.01476547491716176
4,416.9,0.19293031338947933,0.01453934298903568
4,421.4,0.20329155672281263,0.01255458739594373
4,426.5,0.21122588088947933,0.01446305429137037
4,430.9,0.22024210588947937,0.01457994314553091
4,435.5,0.22540854172281263,0.01531888472143031
4,439.8,0.223787215056146,0.0184455120135388
4,444.8,0.21601147838947932,0.01962410974467344
4,449.9,0.20600381838947937,0.01826957911876834
4,455,0.19642699088947935,0.01733704167522048
4,459.4,0.189873305056146,0.01782589020775877
4,463.8,0.18450197672281263,0.01828432696873283
4,468.7,0.17969074672281268,0.01812436513706507
4,470,0.17857293027627175,0.01827461194952047
4,474,0.17513349505614598,0.01875484226491846
4,479.2,0.17485956172281267,0.01756452948277518
4,484.1,0.17757246922281267,0.01756703432520828
4,489.2,0.181079320056146,0.01797977070937099
4,493.9,0.18017631588947933,0.01626263698368476
4,498.9,0.16842198255614602,0.01591873659871516
4,503.8,0.148596955056146,0.01509991974660945
4,508.7,0.12735267853674767,0.0136683506829757
4,514,0.10811216603674768,0.01201567755929571
4,519.7,0.09345523353674769,0.01075562703708057
4,524.8,0.08377291020341433,0.00999750235972623
4,529.9,0.07862081922281267,0.00910830825830396
4,532,0.07743841236111053,0.00887848623659456
4,534.6,0.075974480056146,0.00859428093459152
4,539.6,0.07412504088947934,0.00795008674452255
4,544.4,0.071810345056146,0.00721897459840411
4,549.7,0.06837287838947934,0.00688775914034078
4,554.6,0.06404332338947934,0.00633367836756113
4,560.1,0.05961128422281266,0.0062911984388381
4,565.2,0.05582125838947933,0.00606879114854661
4,569.8,0.05248588338947933,0.00589763420299186
4,574.2,0.04882566353674766,0.00558226364209143
4,579,0.04472273527704833,0.00533296082775885
4,583.4,0.04112579133128367,0.00497982647222687
4,587.8,0.03842972427775967,0.0047128799173806
4,592.7,0.036264709157965,0.00556790744508001
4,597.4,0.03519037433737867,0.00551942797291585
4,602.1,0.03463149819549367,0.00540175778388387
4,607,0.03471222736216033,0.00512128336611181
4,612,0.035182483881559,0.00513350861650108
4,616.9,0.03581559468741866,0.00529617245407806
4,621.9,0.03666375113318333,0.00519524481607085
4,626.5,0.037282294664617,0.00519385034677504
4,631.2,0.03739905876232134,0.00519208937365119
4,635.8,0.036998054070873,0.00505327162947933
4,640.8,0.03639260588947933,0.0048048062252343
4,645.3,0.03586208922281266,0.00465840158389993
4,650.2,0.03627617422281266,0.00455815158169891
4,654.9,0.03909681603674767,0.00427378499280209
4,659.3,0.04478777463247167,0.00405809367253749
4,660,0.04606179274901105,0.0040407824518584
4,663.9,0.05315989368401566,0.00396270806555947
4,668.8,0.06256804020341433,0.00414393748878748
4,673.2,0.07027167838947933,0.00409820652046774
4,677.6,0.07353064240887801,0.00398889302072448
4,681.9,0.070708394908878,0.00405494386822575
4,686.1,0.06203429441624134,0.00360686686844491
4,690,0.04983494338947933,0.0032361161243634
4,693.9,0.037486703343319,0.00275331582784583
4,697.8,0.02730971859636627,0.00243796296778165
4,701.8,0.01974111418543863,0.00228486653455949
4,705.5,0.0149579007457689,0.00182918319859372
4,709.1,0.01185099605376326,0.00150422923445499
4,712.8,0.01026648112216843,0.00127187461240034
4,716.6,0.00970441758083406,7.597904116157841e-4
4,719.8,0.00950987070149453,4.4176631806753337e-4
4,723.2,0.0099877400236587,1.984720397117135e-4
4,726.5,0.01028581843418363,5.63642219813415e-5
4,729.4,0.01065742329981656,4.996153685525454e-4
4,732.3,0.01083438086355,7.4741815320798e-5
4,735.3,0.01061667605174976,7.377290780869614e-4
4,738.3,0.0100750509179399,0.00171830833386263
4,741.3,0.00916346096410043,0.00266411688925157
4,744.2,0.00814783314676253,0.00473164836413273
4,746.7,0.0066080842383721,0.00548402890701505
4,749.4,0.00545459087812243,0.00677323744545478
5,400,0.1902661154879043,0.04214657071406032
5,404.6,0.2024209271545707,0.03327254506313414
5,408.7,0.21495254295796065,0.03112582582126422
5,412.5,0.22810647838211295,0.02777549476783486
5,416.9,0.24127322212462732,0.03160092188417503
5,421.4,0.25311162962462735,0.03290977745394818
5,426.5,0.264498009624627,0.03310069040540986
5,430.9,0.2748157362912937,0.03737474076990227
5,435.5,0.2799945596246273,0.03866966930244594
5,439.8,0.27859163712462737,0.03906069129653748
5,444.8,0.27032494545796065,0.04137134598801229
5,449.9,0.25898619879129364,0.04030107758114947
5,455,0.24783603045796063,0.04008224259496115
5,459.4,0.23958358462462737,0.04145362818384209
5,463.8,0.23274956045796064,0.04098805019955438
5,468.7,0.22594579462462736,0.03993464984958916
5,470,0.22463554588248896,0.03978422769890659
5,474,0.220604011291294,0.0393297523112965
5,479.2,0.218933791291294,0.04004418003149327
5,484.1,0.221287271291294,0.03947368111384734
5,489.2,0.22483884462462733,0.03911291820819491
5,493.9,0.22167580962462732,0.0384696058697959
5,498.9,0.20649717795796063,0.03632665475861826
5,503.8,0.18195619462462737,0.03300768086525324
5,508.7,0.15523975465457066,0.0300233738422674
5,514,0.130978727987904,0.02595839002949316
5,519.7,0.112147719654571,0.02302457333494404
5,524.8,0.099964115487904,0.02049467997281598
5,529.9,0.09292532962462734,0.01874060748267313
5,532,0.091247541326755,0.01811139625833177
5,534.6,0.08917027962462733,0.01733252026853216
5,539.6,0.08687772545796067,0.01602084332978121
5,544.4,0.08405878462462733,0.0151595879137152
5,549.7,0.080091776291294,0.01408596060425232
5,554.6,0.07520302045796066,0.01296986426005119
5,560.1,0.070361443791294,0.01203759509331523
5,565.2,0.06609362295796066,0.01114868756009561
5,569.8,0.062249638791294,0.01040595676191422
5,574.2,0.05806405048790433,0.00982751760570654
5,579,0.05337742133620934,0.00903625318513953
5,583.4,0.04922535554779166,0.00828138191301726
5,587.8,0.046185707271351,0.00773119618986589
5,592.7,0.04381218606476933,0.00882300474747237
5,597.4,0.04243729821847034,0.00869418227979345
5,602.1,0.041709035757397,0.00853421097979511
5,607,0.04157365992406366,0.00860983051220321
5,612,0.04198874572745333,0.00873594348187573
5,616.9,0.04259266273742467,0.00878489861276554
5,621.9,0.04337035102584266,0.00883829285541324
5,626.5,0.04377583054779167,0.00892146827025493
5,631.2,0.04375804549988166,0.00881814823786158
5,635.8,0.043142777960955,0.00874955249719858
5,640.8,0.04225631212462733,0.00856505719165546
5,645.3,0.04154903462462733,0.00824805881593113
5,650.2,0.04204899295796066,0.00817461394616984
5,654.9,0.04505639048790433,0.00808119008284384
5,659.3,0.051269165090701,0.00831676067336227
5,660,0.05268836468468722,0.00839805787849421
5,663.9,0.06059533385118133,0.00885417427401908
5,668.8,0.07091596548790434,0.00950682637394819
5,673.2,0.07943542795796067,0.01013966678042557
5,677.6,0.082914707928017,0.01011878768820682
5,681.9,0.07981832542801699,0.00963528747233012
5,686.1,0.07011842251284733,0.00852315502194416
5,690,0.05666088545796066,0.00691491211586892
5,693.9,0.043076445099684,0.00532627790492067
5,697.8,0.0318227214350234,0.00396897158302933
5,701.8,0.02347173488813133,0.00287034049982715
5,705.5,0.0180301242703923,0.00212695388604716
5,709.1,0.01461046075245559,0.00157900969400894
5,712.8,0.0128588231546888,0.00137222936746279
5,716.6,0.0121077302196061,0.00101736145043329
5,719.8,0.01197136898412793,0.00118307828584708
5,723.2,0.0123744744901757,0.00141375394136517
5,726.5,0.01287540918085626,0.00124366098417825
5,729.4,0.01316417292741196,0.00150195860720879
5,732.3,0.01346097119591653,7.198331127100248e-4
5,735.3,0.01317815897139813,6.721293043025603e-4
5,738.3,0.01281866703029716,0.00165858537213608
5,741.3,0.0115257223885737,0.00312293742033133
5,744.2,0.01029861180571976,0.00570428244873671
5,746.7,0.00863517742046443,0.00757111088832087
5,749.4,0.0069052220761125,0.00863684126815239
6,400,0.2037504128237647,0.02584268834823174
6,404.6,0.214903843657098,0.02829337796456486
6,408.7,0.22770152548315167,0.02945273022154573
6,412.5,0.2425541802349717,0.02835102470971869
6,416.9,0.2550564046498183,0.02741350118132475
6,421.4,0.26812932714981835,0.02555141863283055
6,426.5,0.27951639131648504,0.02785950408458853
6,430.9,0.289860263816485,0.02873437466200468
6,435.5,0.2966879346498183,0.02745658148081485
6,439.8,0.29493216464981836,0.02706262634526292
6,444.8,0.286102128816485,0.0310996056104145
6,449.9,0.273341796316485,0.03200296280567758
6,455,0.262629501316485,0.033137233523373
