date,beads,wl,calib,rep,ave,sd
2012-03-12T00:00:00Z,200,470,7.895e-6,1,7.895e-6,NA
2012-03-12T00:00:00Z,200,532,4.392e-6,1,4.392e-6,NA
2012-03-12T00:00:00Z,200,660,2.259e-6,1,2.259e-6,NA
2015-08-19T00:00:00Z,200,470,9.032311668237602e-6,1,9.032311668237602e-6,NA
2015-08-19T00:00:00Z,200,532,4.345673045165141e-6,1,4.345673045165141e-6,NA
2015-08-19T00:00:00Z,200,660,3.263246664624566e-6,1,3.263246664624566e-6,NA
2015-10-20T00:00:00Z,200,470,8.926743282979016e-6,1,8.926743282979016e-6,NA
2015-10-20T00:00:00Z,200,532,4.673246560487837e-6,1,4.673246560487837e-6,NA
2015-10-20T00:00:00Z,200,660,3.5507168475047444e-6,1,3.5507168475047444e-6,NA
2016-06-29T00:00:00Z,200,470,8.40658344360693e-6,1,8.40658344360693e-6,NA
2016-06-29T00:00:00Z,200,532,4.624470876978923e-6,1,4.624470876978923e-6,NA
2016-06-29T00:00:00Z,200,660,4.0904761785202525e-6,1,4.0904761785202525e-6,NA
2017-10-04T00:00:00Z,200,470,9.715251988513664e-6,1,9.715251988513664e-6,NA
2017-10-04T00:00:00Z,200,532,5.022545829446948e-6,1,5.022545829446948e-6,NA
2017-10-04T00:00:00Z,200,660,4.626595149215517e-6,1,4.626595149215517e-6,NA
2018-07-18T00:00:00Z,200,470,9.24e-6,1,9.24e-6,NA
2018-07-18T00:00:00Z,200,532,4.76e-6,1,4.76e-6,NA
2018-07-18T00:00:00Z,200,660,4.32e-6,1,4.32e-6,NA
2021-09-23T00:00:00Z,200,470,1.2599058316703968e-5,1,1.188626720946319e-5,6.258892709714658e-7
2021-09-23T00:00:00Z,200,470,1.142650818262309e-5,2,1.188626720946319e-5,6.258892709714658e-7
2021-09-23T00:00:00Z,200,532,5.556582862414275e-6,1,5.52019562120444e-6,3.4793125970146555e-7
2021-09-23T00:00:00Z,200,532,5.15550071923782e-6,2,5.52019562120444e-6,3.4793125970146555e-7
2021-09-23T00:00:00Z,200,660,5.156227630518698e-6,1,4.9496923120932705e-6,1.9255306560069217e-7
2021-09-23T00:00:00Z,200,660,4.775122095041409e-6,2,4.9496923120932705e-6,1.9255306560069217e-7
2021-09-23T00:00:00Z,700,470,1.1633235129062512e-5,1,1.188626720946319e-5,6.258892709714658e-7
2021-09-23T00:00:00Z,700,532,5.848503281961225e-6,1,5.52019562120444e-6,3.4793125970146555e-7
2021-09-23T00:00:00Z,700,660,4.917727210719705e-6,1,4.9496923120932705e-6,1.9255306560069217e-7
2022-01-28T00:00:00Z,200,470,1.3572578160643526e-5,NA,1.2529081624951825e-5,1.4757269530645447e-6
2022-01-28T00:00:00Z,200,532,6.426386718509797e-6,NA,6.017599345865183e-6,5.781126465208778e-7
2022-01-28T00:00:00Z,200,660,6.932445824401512e-6,NA,5.855334889402004e-6,1.52326489245667e-6
2022-01-28T00:00:00Z,700,470,1.1485585089260123e-5,NA,1.2529081624951825e-5,1.4757269530645447e-6
2022-01-28T00:00:00Z,700,532,5.608811973220569e-6,NA,6.017599345865183e-6,5.781126465208778e-7
2022-01-28T00:00:00Z,700,660,4.778223954402495e-6,NA,5.855334889402004e-6,1.52326489245667e-6
2022-05-27T00:00:00Z,200,470,1.2517852322018512e-5,NA,1.1939379218555235e-5,8.18084508385821e-7
2022-05-27T00:00:00Z,200,532,6.27325182580484e-6,NA,5.942602826779031e-6,4.6760829880738784e-7
2022-05-27T00:00:00Z,200,660,6.23565839430689e-6,NA,5.713059768457471e-6,7.390660643537916e-7
2022-05-27T00:00:00Z,700,470,1.1360906115091958e-5,NA,1.1939379218555235e-5,8.18084508385821e-7
2022-05-27T00:00:00Z,700,532,5.611953827753222e-6,NA,5.942602826779031e-6,4.6760829880738784e-7
2022-05-27T00:00:00Z,700,660,5.1904611426080515e-6,NA,5.713059768457471e-6,7.390660643537916e-7
2022-11-23T00:00:00Z,200,470,1.433330909603374e-5,NA,1.2785968411277459e-5,2.1882701819940025e-6
2022-11-23T00:00:00Z,200,532,6.906321596981287e-6,NA,6.25827918614385e-6,9.164703663992603e-7
2022-11-23T00:00:00Z,200,660,8.038317156555015e-6,NA,6.568908176570521e-6,2.0780581081668872e-6
2022-11-23T00:00:00Z,700,470,1.123862772652118e-5,NA,1.2785968411277459e-5,2.1882701819940025e-6
2022-11-23T00:00:00Z,700,532,5.6102367753064135e-6,NA,6.25827918614385e-6,9.164703663992603e-7
2022-11-23T00:00:00Z,700,660,5.099499196586027e-6,NA,6.568908176570521e-6,2.0780581081668872e-6
