cp_corr1,cp_corr2,cp_corr3,cp_corr4,cp_corr5,cp_corr6,cp_corr7,cp_corr8,cp_corr9,cp_corr10,cp_corr11,cp_corr12,cp_corr13,cp_corr14,cp_corr15,cp_corr16,cp_corr17,cp_corr18,cp_corr19,cp_corr20,cp_corr21,cp_corr22,cp_corr23,cp_corr24,cp_corr25,cp_corr26,cp_corr27,cp_corr28,cp_corr29,cp_corr30,cp_corr31,cp_corr32,cp_corr33,cp_corr34,cp_corr35,cp_corr36,cp_corr37,cp_corr38,cp_corr39,cp_corr40,cp_corr41,cp_corr42,cp_corr43,cp_corr44,cp_corr45,cp_corr46,cp_corr47,cp_corr48,cp_corr49,cp_corr50,cp_corr51,cp_corr52,cp_corr53,cp_corr54,cp_corr55,cp_corr56,cp_corr57,cp_corr58,cp_corr59,cp_corr60,cp_corr61,cp_corr62,cp_corr63,cp_corr64,cp_corr65,cp_corr66,cp_corr67,cp_corr68,cp_corr69,cp_corr70,cp_corr71,cp_corr72,cp_corr73,cp_corr74,cp_corr75,cp_corr76,cp_corr77,cp_corr78,cp_corr79,cp_corr80
3.28961901705707,3.25842085205708,3.223710596075,3.19468034988927,3.17074908,3.14760782,3.128240725,3.1141249325,3.1014451575,3.0845338025,3.0518649057,2.996928685,2.933048845,2.871108986525,2.814665714075,2.7602207525,2.706748595,2.6601840075,2.6269353375,2.6102134425,2.5981288225,2.56911180725,2.5099207925,2.42998363783208,2.33825928705708,2.24915725205708,2.17276314205708,2.1102179,2.061610783175,2.0211662575,1.983840825,1.946835995,1.9067243625,1.8646488625,1.8237305425,1.7870797875,1.75358908705708,1.71713004433561,1.68119446144623,1.64850986220467,1.62021723673743,1.59275866014655,1.56630492307075,1.54103122557075,1.51699273851368,1.49295813309884,1.47160769126323,1.45072517617123,1.43072617275491,1.41068819445571,1.3907047,1.3693145075,1.348755225,1.33228654205708,1.32269030976917,1.32266084086415,1.33193713455708,1.34779404025,1.36332991294292,1.37062957544292,1.36175590742078,1.33672097,1.3001142581363,1.26108423387396,1.22627399210226,1.2001795229132,1.18092174948053,1.17049413526338,1.16643213287248,1.16685662056936,1.17191637500893,1.17859348725775,1.18323021214538,1.18561162944102,1.18592152686611,1.18207351976221,1.17062806662592,1.15489410058415,1.1395365453175,1.11926617541114
3.4519770542727,3.4222499692727,3.38478646,3.35103002231818,3.326733045,3.3017967525,3.28412926255,3.2679164161,3.25545397855,3.2372418675,3.201633665,3.14471298505,3.0780688475,3.01152541,2.952268285,2.8948000075,2.8390384575,2.7904176906,2.7568837375,2.7401675,2.7287792575,2.697286015,2.6329615529,2.5465210267727,2.4482548567727,2.3525349542727,2.2702568217727,2.20262779,2.14964643135,2.1057812575,2.06519982,2.0249586475,1.9824143725,1.9382483725,1.895116922425,1.8563677325,1.8214353492727,1.78304592140905,1.74508884829311,1.71011598416125,1.68125585588167,1.65251577467252,1.62437731522703,1.59751258272703,1.57199135527933,1.54674646923621,1.52403531982715,1.50165751114311,1.48061044098178,1.45948841292727,1.4376760365,1.4148934885,1.393192004625,1.3754966817727,1.36533234079996,1.36486493354541,1.3751138792727,1.39203469,1.4087471532273,1.4166483932273,1.40708393469093,1.3796243075,1.34081175958177,1.29898200550898,1.26175015559979,1.23397473586325,1.2133583852267,1.20288421698099,1.19820850630794,1.19795222033487,1.20362260504355,1.21051761731585,1.21492036732916,1.21787126123342,1.21831967954229,1.21340517608763,1.20148986070586,1.18500456404235,1.16873535635162,1.14703305371554
3.713786759268,3.677665439268,3.63478698,3.599941634192,3.5663571875,3.5412622425,3.51293237335,3.4950050887,3.47837782535,3.455725875,3.419245905,3.35825858835,3.28818386,3.221830315,3.15733066,3.0973075625,3.0373164975,2.9840882202,2.9460606125,2.925170965,2.909689215,2.875607655,2.8083840868,2.718542784268,2.616782279268,2.516519564268,2.430806264268,2.358461745,2.30073256795,2.253521305,2.20925035,2.16539319,2.12034008,2.07320991,2.027870809975,1.9872734175,1.949578079268,1.909680162652,1.86954417462899,1.83277135173819,1.80010518547679,1.76876960138159,1.73883177017998,1.70980313017998,1.68218634568699,1.65446049433039,1.62954145567839,1.605278903079,1.5820906944752,1.5589929631768,1.5356540805,1.511563972,1.487984074875,1.468849489268,1.4567909336672,1.454282826036,1.461785334268,1.4772245275,1.491235840732,1.497362050732,1.4869562685704,1.4591398875,1.4201260406976,1.37806986748639,1.34121356555839,1.31368311078797,1.29319495073996,1.28246809531914,1.27806496283352,1.2782138352927,1.28407176967187,1.29176443311184,1.29616308436022,1.2991749455342,1.29886914329979,1.29371411794778,1.28027379115018,1.26341028718779,1.2462538722814,1.22322880244942
4.45663199819927,4.40142669069927,4.350020275,4.30344459454982,4.2590558975,4.222294485,4.1844915,4.157551745,4.135074595,4.1046718625,4.059375215,3.990033065,3.9097201375,3.8330837725,3.75869452,3.68785766,3.6179299875,3.5539192275,3.5052869225,3.4773198125,3.4548120375,3.4172578025,3.3464994775,3.25059181069927,3.14219176569927,3.03261240319927,2.93750132819927,2.856158345,2.7896716725,2.7333091625,2.6804893275,2.6282768725,2.5757940575,2.52035447,2.466972315,2.4193182525,2.37533353319927,2.32820867229891,2.28191306459782,2.23863101217644,2.20134866506538,2.16452970983367,2.12882684949273,2.09390315449273,2.06032100379345,2.02681412770524,1.99633646290633,1.96636202709782,1.93781052597898,1.90972933631993,1.8819395625,1.8525896175,1.8244021275,1.80101696819927,1.7841815080288,1.77872696139855,1.78362950569927,1.7964923625,1.80928032180073,1.81363500930073,1.80074508371069,1.7698285325,1.72708762948858,1.68193228835651,1.6409129836536,1.61111833118836,1.58849852223273,1.57655881655498,1.57176482960531,1.57225375967483,1.57913124774254,1.58814759372981,1.59375778587978,1.59661891972123,1.59650660115454,1.59091418010108,1.5751409506125,1.55529796110654,1.53358567225185,1.50652019046021
5.50587002145548,5.44701997145548,5.389010895,5.32540453411387,5.2710036925,5.2268820475,5.1793098145,5.14355306,5.1123900325,5.072032690625,5.0163138675,4.9342267175,4.8416246525,4.7487358025,4.6597772075,4.5715820975,4.48392185,4.4055698225,4.344464225,4.306398035,4.2749806525,4.2226092475,4.1322017725,4.01427582395548,3.87991042145548,3.74515969970548,3.62675685895548,3.525538505,3.4432927,3.372774185,3.3070558925,3.243861405,3.1788621125,3.112723375,3.0479832825,2.9893004925,2.93610543395548,2.87895795913322,2.82328092686644,2.77083224963185,2.7262945929923,2.68121061766268,2.6373610970548,2.5945664120548,2.55292036809932,2.5111021107834,2.47215279110018,2.43473180436644,2.39887357453767,2.36366197264555,2.329210584425,2.292900805,2.2581343525,2.22840004895548,2.20706928615154,2.19788263291096,2.19980989145548,2.21137259,2.22293956354452,2.22543103354452,2.20994728236729,2.174426095,2.12535862158819,2.07360572948631,2.02716428780823,1.99252994828769,1.96623026581766,1.95236490756852,1.94732729442641,1.94805748538533,1.95598972748295,1.96706501795385,1.97334014803948,1.97708038139138,1.9768718622818,1.96957094044533,1.95087780385714,1.92629694452923,1.89927536390422,1.86688448966619
6.21769378256135,6.14265817256135,6.08208131,6.01729583876534,5.9488981375,5.8978895125,5.8451228315,5.8018970925,5.767708215,5.722907999375,5.66152451,5.574471175,5.4731058075,5.3733876975,5.2781323975,5.1797433125,5.0855327875,4.99966242,4.9301043575,4.8875511875,4.850135355,4.79422779,4.70071087,4.57447083256135,4.43001695756135,4.28523307281135,4.15618407256135,4.0467888625,3.9546106525,3.8765505425,3.8049501725,3.7348991625,3.6641875375,3.5916381,3.52033852,3.456306295,3.39820890256135,3.33580384324203,3.27392131268405,3.21668534530062,3.16709609663958,3.11607684553376,3.06788180811351,3.01973606811351,2.97350403305216,2.92663252915185,2.88326138405982,2.84074725268405,2.80039318338589,2.76119879250614,2.722551251475,2.68223698,2.6438311125,2.61039522568635,2.58537162885123,2.5734325551227,2.57255161006135,2.5827435475,2.59388437743865,2.59570186493865,2.57890554369172,2.54086772,2.49012808386964,2.43559163279449,2.38479121768989,2.34823191348162,2.3195673977071,2.30400114461049,2.29993056042647,2.29894876630993,2.30913819984677,2.32173866842042,2.32778638676707,2.33208628871295,2.33116850930238,2.3227621658438,2.30281447697416,2.27476228788366,2.2452937974358,2.20869717173026
5.7412671407948,5.6804673282948,5.60898404,5.5515403633237,5.48902772,5.4388724625,5.3955252125,5.3532429175,5.3202888325,5.2814551775,5.2225236225,5.141304605,5.04588284,4.9469005475,4.85712548,4.76596702,4.6757776075,4.594120175,4.528851205,4.487748835,4.4549766175,4.40207506,4.3114828975,4.19295616079479,4.0541242982948,3.9155458132948,3.7919895157948,3.6860425725,3.59959822,3.5253355475,3.457100015,3.3908657675,3.322801385,3.2542279225,3.186419975,3.125743975,3.0703653807948,3.01079141994219,2.95151923988439,2.8970237936445,2.85009918092195,2.80252185116472,2.75614175544796,2.71045493044796,2.66603861215316,2.62144292658091,2.58051818913872,2.54031678488439,2.50243252071271,2.46466815782948,2.4280121775,2.38987601,2.3528018375,2.3212939026698,2.29786462043641,2.28676911158959,2.2868981632948,2.2972102275,2.3087585317052,2.3120484042052,2.29680194186994,2.2611231825,2.21141308142485,2.15872875081502,2.1103592105442,2.07413234271674,2.0470382507514,2.03278944584098,2.02721992716177,2.02797433460683,2.03615379278888,2.04811941544781,2.05498487091599,2.05860571295484,2.05910596744196,2.05087752309225,2.03207872416739,2.00602275338128,1.97751341182927,1.94268681893911
5.31974761499276,5.26873144749276,5.1991754375,5.14544862624819,5.09594738875,5.0509218391,5.011291465,4.9765417825,4.94888061,4.9105268,4.856609495,4.782360355,4.68960216,4.6005784,4.513503655,4.4294155377875,4.3441809375,4.2702101075,4.2089117575,4.1737077725,4.14484626375,4.09444322625,4.00851900875,3.89383694749276,3.76163775124276,3.62939734999276,3.51202878499276,3.4130842925,3.3325695175,3.2634694225,3.20092232375,3.13926469875,3.07625640375,3.01171734875,2.9486797,2.8920476375,2.84010596249276,2.78370134498914,2.72848641747828,2.67753178621453,2.63428424870403,2.58993360493702,2.54673941742761,2.50520971867761,2.46388219868485,2.42336414745258,2.38579153371344,2.34918921497828,2.31415945373987,2.27990233749928,2.24600089,2.210926595,2.17658065375,2.14790821249276,2.12694272123806,2.11790234748552,2.12059917124276,2.1324471725,2.14536326250724,2.14985852750724,2.13564220625688,2.10185950625,2.05369748373588,2.00248910621525,1.9558923111863,1.92095554363417,1.89476986107807,1.88041043600097,1.87525153215469,1.87602201330045,1.88434284692811,1.89469183180142,1.90150153420152,1.90401928289146,1.90454161654986,1.89764317401547,1.87912321027959,1.85561773656977,1.82904077037261,1.79634343018086
5.48144439417027,5.42911501042027,5.36507120125,5.31090607323007,5.2639147467375,5.2151346572,5.178462045,5.1487678825,5.1195391850625,5.08619291125,5.03132912875,4.94974415875,4.85495747125,4.759355255,4.67049012,4.5816430692625,4.49448124,4.4161089875,4.35662143,4.31948672,4.29167237375,4.24099413125,4.14950053,4.02786587667028,3.88780956167028,3.74858599292028,3.62593417292027,3.5228387225,3.43910451375,3.36860463125,3.3042909025,3.24042758875,3.1754465825,3.1083707625,3.043381505,2.98401655125,2.93016318417027,2.87186915688041,2.81397461876083,2.76090519155935,2.71496694004375,2.66932662465639,2.62485606420275,2.58153142295275,2.53973528753248,2.4979962836278,2.45969282049739,2.42253273251083,2.38684471508839,2.35190809054203,2.31710940125,2.28128085375,2.24638520875,2.21706854917028,2.19614572331845,2.18907796709055,2.19424650042028,2.20899228125,2.22509492832972,2.23122636957972,2.21691208297574,2.1808510175,2.12947279244454,2.07437633226732,2.02444181644842,1.9870569829744,1.95956115685654,1.94354449645747,1.93772635729713,1.93852695909909,1.94607331945174,1.95700256055655,1.96377069535635,1.96631587634458,1.96696385328612,1.95936383340742,1.93957603275039,1.91586797150536,1.88959580943735,1.85522735970419
4.87028106122308,4.82631661997308,4.76632935875,4.72007067311827,4.6794279101625,4.6372013875,4.6059345875,4.5788934075,4.5575126741875,4.52691382125,4.47738691125,4.40049656875,4.31246060875,4.22600891,4.1429516575,4.064981605,3.98367729,3.9130110475,3.859604005,3.8293858425,3.804856295,3.759072535,3.67357383875,3.56141649122308,3.43243929497308,3.30456899747308,3.19286300759808,3.09966366,3.02484389125,2.96187525125,2.90381780375,2.8473601675,2.78858638625,2.72767517875,2.668234505,2.61472773375,2.56571371372308,2.51260671870963,2.45990166491925,2.41165345461811,2.37028808570408,2.32939087526582,2.28903514473083,2.25046121973083,2.21346837225775,2.1761940699487,2.14220602623907,2.10947144366925,2.07755379471232,2.04654637149731,2.01518389125,1.98282416125,1.951485205,1.92576345122308,1.90836051658059,1.90324614369617,1.91041579372308,1.92658644875,1.94247679627692,1.94969154627692,1.93719666390057,1.90230216125,1.85476658857251,1.8028685993708,1.75594739176313,1.72078847956933,1.69488826373573,1.68053706632406,1.67522944796607,1.67463567357847,1.68199594412358,1.69151833240254,1.69743024653109,1.70060310058981,1.70038731209218,1.69401912258933,1.67766862127931,1.6551768015412,1.63180175848769,1.60156792747224
