Source DataFile                                                                                                                   ,   DATE,     TIME,       TimeSec,   PIF,          Lon,         Lat, GPS_stat,    LEDSel,   Light_1, Light_2, Light_3, Light_4, Light_5, Light_6,      ChiSq,        Fo,         Fm,         Fv,   Fv/Fm,   Fv/Fo,      Sig,       p,      fmPQ, PQP_Size, Alp1QA,   Tau1QA, Alp2QA,   Tau2QA, Alp3QA,   Tau3QA, Cx    ,   TauQx , Alp1PQ,   Tau1PQ, Alp2PQ,   Tau2PQ, Alp3PQ,   Tau3PQ,      ETR,    Alpha,       Ek,     Pmax,   carQ,      carQt,    p680Q,    p680Qt, S/N_RAT,   fQB  ,   PAR_3,   PAR_4,   PAR_5,   PAR_6, TPQ_PSI,  QBP_Size, 
-------------------------------------------------------------------------------------------------------------------------------,----------,---------,--------------,--------,-----------,------------,---------,----------,---------,--------,--------,--------,--------,--------,-----------,----------,-----------,-----------,--------,--------,---------,--------,----------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,---------,---------,---------,---------,-------,-----------,---------,----------,--------,--------,--------,--------,--------,--------,--------,----------,
C:\Users\zkolb\Box\Phyto_bbp\DATA\WORKING\Ostreococcus_12L12D\OL22-3\data\frr\A_1_data.csv                                     ,2022/12/07, 09:22:46,    1670433765,   15.15,     0.0000,      0.0000,  NO DATA,    '01110,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     76.501,    30.444,     83.211,     52.766,  0.6341,  1.7332,   864.87,  0.2000,     0.000,    0.669,  0.000,      799,  0.000,       16,  0.000,     3650, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    3.615,    50.04,   180.92,  0.020,      30.00,    0.000,    600.00, 1263.25,   0.000,     0.0,     0.0,     0.0,     0.0,    5459,    2.0000,
C:\Users\zkolb\Box\Phyto_bbp\DATA\WORKING\Ostreococcus_12L12D\OL22-3\data\frr\A_1_data.csv                                     ,2022/12/07, 09:25:11,    1670433910,   14.24,     0.0000,      0.0000,  NO DATA,    '01110,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     99.516,    32.516,     84.699,     52.183,  0.6161,  1.6048,   781.28,  0.2000,     0.000,    1.462,  0.000,      643,  0.000,      175,  0.000,     5730, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    3.166,    73.06,   231.27,  0.025,      30.00,    0.000,    600.00, 1367.72,   0.000,     0.0,     0.0,     0.0,     0.0,    3920,    1.9999,
