exp,exp_no,phyto,source,tp,date,time,plot_date,plot_datetime,wl,mean_cp,sd_cp,mean_ap,sd_ap,mean_bp,sd_bp,mean_abs_line_height,sd_abs_line_height,mean_chl_line_height,sd_chl_line_height,mean_cells,sd_cells,mean_grn,sd_grn,mean_yel,sd_yel,mean_red,sd_red,mean_fsc,sd_fsc,mean_ssc,sd_ssc,mean_bbp,sd_bbp,mean_bb_b,sd_bb_b
SYN22-4,1,italic('Synechococcus ') (WH8102),Optics,13,2022-08-17,13:00:00,2022-11-28,2022-11-28T13:00:00Z,660,0.5699652412362088,0.01465573222720274,0.03240358602841126,0.00612752670640392,0.5375616552077975,0.0207832589336067,0.05084069428781464,5.471266024192384e-4,4.488621020558188,0.03908047160137478,84124,39790.312790929405,1.452650171724839,0.01600011059235124,1.2425056268615036,0.00153878658153614,0.3760465478604508,0.00566448459486054,1.6374419409028866,0.00951976922168182,2.096946601192972,0.01314374365061728,0.003295295961723811,3.7921960561233386e-4,0.006148312106528808,9.43150545086715e-4
SYN22-5,2,italic('Synechococcus ') (WH8102),Optics,1,2022-08-24,09:00:00,2022-11-27,2022-11-27T09:00:00Z,470,0.9157016467610064,0.02003004134853711,0.09077833310985084,0.01583460604378197,0.8249233136511553,0.00419606975680273,0.04585600851190981,0.00131281417028955,4.132572036564986,0.09377244073496796,79642,26149.665236862977,1.422093455997227,0.01730663290125563,1.232744525882472,0.01149698816954645,0.37584437652244407,0.00865478322464559,1.5484554268369668,0.01146006387955695,2.1324448170471517,0.02439859883452335,0.0020421634939814482,2.660598876558479e-4,0.0024757636800542245,3.2533742713481507e-4
SYN22-5,2,italic('Synechococcus ') (WH8102),Optics,1,2022-08-24,09:00:00,2022-11-27,2022-11-27T09:00:00Z,532,0.6961666088416666,0.01299866241108035,0.02146548767960654,0.00642863020976729,0.6747011211620602,0.00669313708102695,0.04585600851190981,0.00131281417028955,4.132572036564986,0.09377244073496796,79642,26149.665236862977,1.422093455997227,0.01730663290125563,1.232744525882472,0.01149698816954645,0.37584437652244407,0.00865478322464559,1.5484554268369668,0.01146006387955695,2.1324448170471517,0.02439859883452335,0.0028081789665852005,3.7467838540293453e-4,0.004160843352024573,5.408915114888129e-4
SYN22-5,2,italic('Synechococcus ') (WH8102),Optics,1,2022-08-24,09:00:00,2022-11-27,2022-11-27T09:00:00Z,660,0.44089527512352666,0.00859340276592541,0.03065441053623533,0.00345055946520696,0.4102408645872913,0.00632333901724586,0.04585600851190981,0.00131281417028955,4.132572036564986,0.09377244073496796,79642,26149.665236862977,1.422093455997227,0.01730663290125563,1.232744525882472,0.01149698816954645,0.37584437652244407,0.00865478322464559,1.5484554268369668,0.01146006387955695,2.1324448170471517,0.02439859883452335,0.0033421382289385935,3.5137485768599455e-4,0.00814019909142741,7.532486599327002e-4
SYN22-5,2,italic('Synechococcus ') (WH8102),Optics,2,2022-08-24,11:00:00,2022-11-27,2022-11-27T11:00:00Z,470,0.9603742153930818,0.04213895279460624,0.09228717176447084,0.01431398068125419,0.868087043628611,0.05638405713620384,0.04842026256766722,0.00219003431007351,4.315733040547658,0.156431022148108,66986.66666666667,11285.72307534317,1.4606267732292166,0.01016156935559216,1.2597645241340631,0.00848462413306833,0.38239522603521803,0.00486674578885627,1.5452036509020135,0.02032883761689893,2.119613897345305,0.0240011499413754,0.001629128626299221,5.595863132680305e-4,0.0018563915063356275,5.237457877788885e-4
SYN22-5,2,italic('Synechococcus ') (WH8102),Optics,2,2022-08-24,11:00:00,2022-11-27,2022-11-27T11:00:00Z,532,0.7263184226833334,0.03354812372914615,0.01762515324031968,0.0025756313604535,0.7086932694430137,0.03280549750072839,0.04842026256766722,0.00219003431007351,4.315733040547658,0.156431022148108,66986.66666666667,11285.72307534317,1.4606267732292166,0.01016156935559216,1.2597645241340631,0.00848462413306833,0.38239522603521803,0.00486674578885627,1.5452036509020135,0.02032883761689893,2.119613897345305,0.0240011499413754,0.002679663786156013,3.7058728785494964e-4,0.003773837984524654,3.9981548945267894e-4
SYN22-5,2,italic('Synechococcus ') (WH8102),Optics,2,2022-08-24,11:00:00,2022-11-27,2022-11-27T11:00:00Z,660,0.4550870712030167,0.02339913421476646,0.03075741625220878,0.00165743332258224,0.42432965495080793,0.02303102076982658,0.04842026256766722,0.00219003431007351,4.315733040547658,0.156431022148108,66986.66666666667,11285.72307534317,1.4606267732292166,0.01016156935559216,1.2597645241340631,0.00848462413306833,0.38239522603521803,0.00486674578885627,1.5452036509020135,0.02032883761689893,2.119613897345305,0.0240011499413754,0.0031428234666720247,7.409590112790965e-5,0.007426464245116287,5.542802059163768e-4
SYN22-5,2,italic('Synechococcus ') (WH8102),Optics,3,2022-08-24,13:00:00,2022-11-27,2022-11-27T13:00:00Z,470,1.0275309243238997,0.13932350653234418,0.08877087148014674,0.032784713793188,0.9387600528437526,0.1084993346632828,0.04722604971420516,0.00487705859770855,4.230432122443227,0.3483613284077536,74180.66666666667,26287.136822661636,1.4695378283726244,0.0119483699781981,1.246801407742133,0.00304066222690698,0.3853687979820251,0.00274618679254473,1.598369816913925,0.01502760997330123,2.1132496366156044,0.02297304306278327,0.0019713020550264455,3.321356315265849e-4,0.002124316985357467,4.480623253019291e-4
SYN22-5,2,italic('Synechococcus ') (WH8102),Optics,3,2022-08-24,13:00:00,2022-11-27,2022-11-27T13:00:00Z,532,0.7775559524606382,0.11028358797739708,0.01388564927151802,0.00911942861218936,0.7636703031891203,0.10537345968669108,0.04722604971420516,0.00487705859770855,4.230432122443227,0.3483613284077536,74180.66666666667,26287.136822661636,1.4695378283726244,0.0119483699781981,1.246801407742133,0.00304066222690698,0.3853687979820251,0.00274618679254473,1.598369816913925,0.01502760997330123,2.1132496366156044,0.02297304306278327,0.00263148568992364,4.187015309193954e-4,0.0034466035010221768,2.478722660170887e-4
SYN22-5,2,italic('Synechococcus ') (WH8102),Optics,3,2022-08-24,13:00:00,2022-11-27,2022-11-27T13:00:00Z,660,0.4854697550382087,0.07552521499400176,0.02931163129959731,0.0056564575383462,0.45615812373861137,0.07146195492488797,0.04722604971420516,0.00487705859770855,4.230432122443227,0.3483613284077536,74180.66666666667,26287.136822661636,1.4695378283726244,0.0119483699781981,1.246801407742133,0.00304066222690698,0.3853687979820251,0.00274618679254473,1.598369816913925,0.01502760997330123,2.1132496366156044,0.02297304306278327,0.002987260464400651,3.256495302872024e-4,0.006587503115431797,4.3280512418528063e-4
