exp,exp_no,phyto,source,tp,datetime,date,time,plot_date,plot_datetime,mean_cells,sd_cells,mean_grn,sd_grn,mean_yel,sd_yel,mean_red,sd_red,mean_fsc,sd_fsc,mean_ssc,sd_ssc,mean_abs_line_height,sd_abs_line_height,mean_chl_line_height,sd_chl_line_height,wl,mean_bbp,sd_bbp,mean_bb_b,sd_bb_b
SYN22-4,1,italic('Synechococcus ') (WH8102),Optics,7,2022-08-16T21:00:00Z,2022-08-16,21:00:00,2022-11-27,2022-11-27T21:00:00Z,803742000000,158529000000,1.4233142481423242,0.01931440431955972,1.2112540981928213,0.0095589080910277,0.37759930805920233,0.00491938771130624,1.830770417611162,0.00855998436458786,2.1109098245434708,0.0105658951879316,0.03987228296992759,6.858683794330968e-4,4.987719516339192,0.0659488826377978,470,0.002096575090873797,5.652311507753851e-4,0.0018641893073655818,7.084908660177e-4
SYN22-4,1,italic('Synechococcus ') (WH8102),Optics,7,2022-08-16T21:00:00Z,2022-08-16,21:00:00,2022-11-27,2022-11-27T21:00:00Z,803742000000,158529000000,1.4233142481423242,0.01931440431955972,1.2112540981928213,0.0095589080910277,0.37759930805920233,0.00491938771130624,1.830770417611162,0.00855998436458786,2.1109098245434708,0.0105658951879316,0.03987228296992759,6.858683794330968e-4,4.987719516339192,0.0659488826377978,532,0.002884398040934702,2.740204589296164e-5,0.0030216544745910153,3.256796993291712e-4
SYN22-4,1,italic('Synechococcus ') (WH8102),Optics,7,2022-08-16T21:00:00Z,2022-08-16,21:00:00,2022-11-27,2022-11-27T21:00:00Z,803742000000,158529000000,1.4233142481423242,0.01931440431955972,1.2112540981928213,0.0095589080910277,0.37759930805920233,0.00491938771130624,1.830770417611162,0.00855998436458786,2.1109098245434708,0.0105658951879316,0.03987228296992759,6.858683794330968e-4,4.987719516339192,0.0659488826377978,660,0.0031797881672441957,1.1932173155587381e-4,0.005246840271838123,6.78465481877552e-4
SYN22-4,1,italic('Synechococcus ') (WH8102),Optics,8,2022-08-16T23:00:00Z,2022-08-16,23:00:00,2022-11-27,2022-11-27T23:00:00Z,940538000000,229800000000,1.4231003198310468,0.02335676441096635,1.2128275388571137,0.01107641896854474,0.3830646748661872,0.00146442657529719,1.7677576705514475,0.01091845847528681,2.096605873489274,0.0241179621207207,0.03850109930896754,0.00139035576260622,4.8558749335545714,0.13368805409675164,470,0.0017579688590082106,7.233595012767792e-4,0.0017334610798595235,8.385941440796193e-4
SYN22-4,1,italic('Synechococcus ') (WH8102),Optics,8,2022-08-16T23:00:00Z,2022-08-16,23:00:00,2022-11-27,2022-11-27T23:00:00Z,940538000000,229800000000,1.4231003198310468,0.02335676441096635,1.2128275388571137,0.01107641896854474,0.3830646748661872,0.00146442657529719,1.7677576705514475,0.01091845847528681,2.096605873489274,0.0241179621207207,0.03850109930896754,0.00139035576260622,4.8558749335545714,0.13368805409675164,532,0.002478808103396971,1.0845189857919632e-4,0.0028964447615095713,6.273167189225537e-5
SYN22-4,1,italic('Synechococcus ') (WH8102),Optics,8,2022-08-16T23:00:00Z,2022-08-16,23:00:00,2022-11-27,2022-11-27T23:00:00Z,940538000000,229800000000,1.4231003198310468,0.02335676441096635,1.2128275388571137,0.01107641896854474,0.3830646748661872,0.00146442657529719,1.7677576705514475,0.01091845847528681,2.096605873489274,0.0241179621207207,0.03850109930896754,0.00139035576260622,4.8558749335545714,0.13368805409675164,660,0.002789516547875882,1.5279756674099423e-4,0.005243950565097562,9.771956992574823e-5
SYN22-4,1,italic('Synechococcus ') (WH8102),Optics,9,2022-08-17T03:00:00Z,2022-08-17,03:00:00,2022-11-28,2022-11-28T03:00:00Z,904378000000,214136000000,1.4373879102602083,0.01750517792744208,1.240964898100391,0.01307098893373123,0.3844077491520292,0.00844053315497789,1.6967807833584834,0.00209394733894242,2.1214244277151484,0.02017201786367276,0.04227304376249332,0.00215850176906117,5.2185619002397425,0.20754824702511296,470,0.002137620885935753,4.994747831168694e-4,0.0020828317830448324,5.944712871769735e-4
SYN22-4,1,italic('Synechococcus ') (WH8102),Optics,9,2022-08-17T03:00:00Z,2022-08-17,03:00:00,2022-11-28,2022-11-28T03:00:00Z,904378000000,214136000000,1.4373879102602083,0.01750517792744208,1.240964898100391,0.01307098893373123,0.3844077491520292,0.00844053315497789,1.6967807833584834,0.00209394733894242,2.1214244277151484,0.02017201786367276,0.04227304376249332,0.00215850176906117,5.2185619002397425,0.20754824702511296,532,0.003172836251452722,2.2517348073248443e-4,0.003669376676713651,4.863589901135354e-4
SYN22-4,1,italic('Synechococcus ') (WH8102),Optics,9,2022-08-17T03:00:00Z,2022-08-17,03:00:00,2022-11-28,2022-11-28T03:00:00Z,904378000000,214136000000,1.4373879102602083,0.01750517792744208,1.240964898100391,0.01307098893373123,0.3844077491520292,0.00844053315497789,1.6967807833584834,0.00209394733894242,2.1214244277151484,0.02017201786367276,0.04227304376249332,0.00215850176906117,5.2185619002397425,0.20754824702511296,660,0.0035958946323228387,1.3319483369460069e-4,0.006448379793936545,6.894655569900855e-4
SYN22-4,1,italic('Synechococcus ') (WH8102),Optics,10,2022-08-17T07:00:00Z,2022-08-17,07:00:00,2022-11-28,2022-11-28T07:00:00Z,726272000000,199957000000,1.426625385796752,0.01145663508675105,1.2356588283728378,0.01265253797630417,0.37715570933598086,0.00638382836727686,1.6267131924716218,0.01575504041100292,2.1112436603390146,0.01253800587963981,0.04509985040351506,0.00112967036081875,5.490370231107217,0.10862215007872672,470,0.00251218408929911,2.2524860710408895e-4,0.002746620590575055,2.993211889028902e-5
