exp,exp_no,phyto,source,tp,date,time,plot_date,plot_datetime,wl,mean_cp,sd_cp,mean_ap,sd_ap,mean_bp,sd_bp,mean_abs_line_height,sd_abs_line_height,mean_chl_line_height,sd_chl_line_height,mean_cells,sd_cells,mean_grn,sd_grn,mean_yel,sd_yel,mean_red,sd_red,mean_fsc,sd_fsc,mean_ssc,sd_ssc,mean_bbp,sd_bbp,mean_bb_b,sd_bb_b
TP22-14,2,italic('T. Pseudonana'),Optics,1,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,470,0.3427515721698113,0.10899841122289372,0.02894120384165943,0.00531551742367426,0.3138103683281519,0.1038138684937529,0.01557935173528878,0.00100377490844873,1.112810838234913,0.071698207746338255,7438.666666666667,1442.2019044965004,0.7132742142940931,0.01967420776154213,1.493968191680465,0.00793078136249067,1.442166027138705,0.0039261785573738,1.8088993773244364,0.00155420893792775,1.2159563700816092,0.00772250872783283,0.00196341907155177,8.011469732700071e-4,0.006154878551451144,4.967259758292148e-4
TP22-14,2,italic('T. Pseudonana'),Optics,1,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,532,0.3227804321631206,0.1040488404881202,0.01684847203281425,0.00291836706720786,0.3059319601303063,0.10113330969303,0.01557935173528878,0.00100377490844873,1.112810838234913,0.071698207746338255,7438.666666666667,1442.2019044965004,0.7132742142940931,0.01967420776154213,1.493968191680465,0.00793078136249067,1.442166027138705,0.0039261785573738,1.8088993773244364,0.00155420893792775,1.2159563700816092,0.00772250872783283,0.002140975297423746,7.662268079300505e-4,0.006989807960539138,5.261255502883143e-4
TP22-14,2,italic('T. Pseudonana'),Optics,1,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,660,0.2626182886441158,0.09379883638863752,0.01457462712264282,0.0012651560688916,0.24804366152147295,0.0925620222261519,0.01557935173528878,0.00100377490844873,1.112810838234913,0.071698207746338255,7438.666666666667,1442.2019044965004,0.7132742142940931,0.01967420776154213,1.493968191680465,0.00793078136249067,1.442166027138705,0.0039261785573738,1.8088993773244364,0.00155420893792775,1.2159563700816092,0.00772250872783283,0.0019512927759685109,8.265537694357359e-4,0.007860483892721126,0.0010144845036881055
TP22-14,2,italic('T. Pseudonana'),Optics,2,2022-05-18,11:00:00,2022-11-27,2022-11-27T11:00:00Z,470,0.3340619588679245,0.05723631736679377,0.0297601568410518,0.00281023909179987,0.3043018020268727,0.05476564978726243,0.0166363258569944,0.00139583272712398,1.1883089897853143,0.09970233765171288,7250.333333333333,1611.321300465346,0.7975589637226801,0.01552222319499592,1.518985142192528,0.01209047513026605,1.502460573411921,0.00416568195494995,1.867860685196443,0.00507051749230994,1.238090645328012,0.00913118939318896,0.0016986628619585745,3.3273576058681284e-4,0.005703195726138839,0.001606023102629866
TP22-14,2,italic('T. Pseudonana'),Optics,2,2022-05-18,11:00:00,2022-11-27,2022-11-27T11:00:00Z,532,0.3172835481528369,0.05411681003331056,0.01635889101340561,7.866981608263637e-4,0.30092465713943123,0.05339434927379049,0.0166363258569944,0.00139583272712398,1.1883089897853143,0.09970233765171288,7250.333333333333,1611.321300465346,0.7975589637226801,0.01552222319499592,1.518985142192528,0.01209047513026605,1.502460573411921,0.00416568195494995,1.867860685196443,0.00507051749230994,1.238090645328012,0.00913118939318896,0.0017893319016552246,2.0435337251565943e-4,0.006005621741397939,6.601905671026526e-4
TP22-14,2,italic('T. Pseudonana'),Optics,2,2022-05-18,11:00:00,2022-11-27,2022-11-27T11:00:00Z,660,0.25669080111018483,0.04780426218240197,0.01493322883469811,6.128963531437827e-4,0.24175757227548672,0.04740954158865811,0.0166363258569944,0.00139583272712398,1.1883089897853143,0.09970233765171288,7250.333333333333,1611.321300465346,0.7975589637226801,0.01552222319499592,1.518985142192528,0.01209047513026605,1.502460573411921,0.00416568195494995,1.867860685196443,0.00507051749230994,1.238090645328012,0.00913118939318896,0.0016087362946615596,1.244461637388991e-4,0.006769267466642634,9.384914950187867e-4
TP22-14,2,italic('T. Pseudonana'),Optics,3,2022-05-18,13:00:00,2022-11-27,2022-11-27T13:00:00Z,470,0.39310872729874213,0.08500113732771479,0.03717710801371007,0.0037293684700988,0.35593161928503203,0.08165512645934062,0.01998375377455183,0.00149539067464207,1.4274109838965596,0.10681361961729088,8352,2238.0598740873756,0.937741511278445,0.01045723295855793,1.5835958261390957,0.00670563415192009,1.6053813424895207,0.01250901148319981,2.0450135110972147,0.00698309216393638,1.3039815367677046,0.00776256715023267,0.001481090426247122,5.122109615749741e-4,0.004094029134987481,4.5499303584374854e-4
TP22-14,2,italic('T. Pseudonana'),Optics,3,2022-05-18,13:00:00,2022-11-27,2022-11-27T13:00:00Z,532,0.3828390998039007,0.08661806483318661,0.01787860986571048,0.0012077850150367,0.3649604899381902,0.08543467890835663,0.01998375377455183,0.00149539067464207,1.4274109838965596,0.10681361961729088,8352,2238.0598740873756,0.937741511278445,0.01045723295855793,1.5835958261390957,0.00670563415192009,1.6053813424895207,0.01250901148319981,2.0450135110972147,0.00698309216393638,1.3039815367677046,0.00776256715023267,0.0015479679052810163,4.689709460328731e-4,0.004200168320228036,2.771317721874869e-4
TP22-14,2,italic('T. Pseudonana'),Optics,3,2022-05-18,13:00:00,2022-11-27,2022-11-27T13:00:00Z,660,0.311923715389214,0.08246297138804981,0.01703047232617442,0.00131566854580007,0.2948932430630396,0.08121048581398721,0.01998375377455183,0.00149539067464207,1.4274109838965596,0.10681361961729088,8352,2238.0598740873756,0.937741511278445,0.01045723295855793,1.5835958261390957,0.00670563415192009,1.6053813424895207,0.01250901148319981,2.0450135110972147,0.00698309216393638,1.3039815367677046,0.00776256715023267,0.0012543883070312936,5.394598588608872e-4,0.004146118581944454,6.836416788742225e-4
TP22-14,2,italic('T. Pseudonana'),Optics,4,2022-05-18,15:00:00,2022-11-27,2022-11-27T15:00:00Z,470,0.4521637872625786,0.070401250643027,0.04109223392793738,0.00210907001211331,0.4110715533346413,0.06876567110411128,0.02123475124613261,8.626706683051915e-4,1.5167679461523296,0.06161933345037083,8041.333333333333,976.1364317211676,0.9606102293143924,0.00489537049907565,1.605089509098544,0.01257259322810801,1.5917296765497524,0.00561285007691118,2.096791535591493,0.00946170694792371,1.356697503371456,0.01654241662991648,0.0016146236978332028,5.877673026356027e-4,0.0038341733568616277,8.509437925775666e-4
