exp,exp_no,phyto,source,tp,date,time,plot_date,plot_datetime,bottle,wl,count,count_se,slope,beta,ap,cp,bp,beta_corr,bbp,bb_b
TP22-14,2,italic('T. Pseudonana'),Optics,1,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,A,470,32,1.2223229807983464,1.2418143084928173e-5,3.9738057871770155e-4,0.03485206038932181,0.45381405622641513,0.4189619958370933,4.0053843892080485e-4,0.002817146108173758,0.006724108955384012
TP22-14,2,italic('T. Pseudonana'),Optics,1,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,B,470,21,0.9551112640854893,1.2418143084928173e-5,2.6078100478349166e-4,0.02741792661995306,0.3384989526415094,0.3110810260215564,2.623339580571273e-4,0.0018450990396169616,0.00593124904856494
TP22-14,2,italic('T. Pseudonana'),Optics,1,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,C,470,14,1.0641266686151316,1.2418143084928173e-5,1.7385400318899443e-4,0.02455362451570342,0.23594170764150932,0.2113880831258059,1.7459727587814406e-4,0.001228012066864589,0.005809277650404482
TP22-14,2,italic('T. Pseudonana'),Optics,1,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,A,532,69.5,0.8300528628358803,6.072827119596022e-6,4.220614848119235e-4,0.01988041481425156,0.42849781436170215,0.4086173995474506,4.2509773295321585e-4,0.0029898813886859526,0.0073170682207788695
TP22-14,2,italic('T. Pseudonana'),Optics,1,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,B,532,45,0.8121136740189882,6.072827119596022e-6,2.7327722038182097e-4,0.01660621904367856,0.3193589490425532,0.30275272999887465,2.747526106339001e-4,0.0019324443612537068,0.006382913083098837
TP22-14,2,italic('T. Pseudonana'),Optics,1,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,C,532,35,0.6385379556018722,6.072827119596022e-6,2.1254894918586075e-4,0.01405878224051263,0.2204845330851064,0.20642575084459375,2.1335351997183526e-4,0.001500600142331578,0.007269442577739707
TP22-14,2,italic('T. Pseudonana'),Optics,1,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,A,660,67.5,0.8882728023690534,6.045767611476665e-6,4.080893137746749e-4,0.01567640227472048,0.3573693653156708,0.34169296304095037,4.105275672881658e-4,0.0028874036199870575,0.008450287048027428
TP22-14,2,italic('T. Pseudonana'),Optics,1,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,B,660,38.5,0.968698981396974,6.045767611476665e-6,2.327620530418516e-4,0.01485451539745152,0.2606838859680928,0.24582937057064125,2.3379444358532733e-4,0.0016443692860881206,0.006689067633664206
TP22-14,2,italic('T. Pseudonana'),Optics,1,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,C,660,31,0.9428421808665615,6.045767611476665e-6,1.8741879595577662e-4,0.01319296369575645,0.16980161464858376,0.1566086509528273,1.8797535570206934e-4,0.0013221054218303548,0.008442096996471742
TP22-14,2,italic('T. Pseudonana'),Optics,2,2022-05-18,11:00:00,2022-11-27,2022-11-27T11:00:00Z,A,470,21,0.6623784575729793,1.2418143084928173e-5,2.6078100478349166e-4,0.03295485142927641,0.39703111188679246,0.364076260457516,2.626083294145463e-4,0.0018470288024727561,0.005073192083855425
TP22-14,2,italic('T. Pseudonana'),Optics,2,2022-05-18,11:00:00,2022-11-27,2022-11-27T11:00:00Z,B,470,22,1.5221244184027922,1.2418143084928173e-5,2.7319914786841983e-4,0.02865564686193961,0.2851946221698113,0.2565389753078717,2.746050034355112e-4,0.0019314061811339656,0.007528704668817245
TP22-14,2,italic('T. Pseudonana'),Optics,2,2022-05-18,11:00:00,2022-11-27,2022-11-27T11:00:00Z,C,470,15,0.8979688465775698,1.2418143084928173e-5,1.862721462739226e-4,0.02766997223193939,0.31996014254716976,0.29229017031523036,1.8732818348190527e-4,0.001317553602269002,0.004507690425743846
TP22-14,2,italic('T. Pseudonana'),Optics,2,2022-05-18,11:00:00,2022-11-27,2022-11-27T11:00:00Z,A,532,47,0.46383998809442434,6.072827119596022e-6,2.85422874621013e-4,0.01726574079700011,0.3760777555287234,0.35881201473172325,2.872229551964675e-4,0.0020201532531809773,0.0056301159666891495
