exp,tp,mean_c_mg,sd_c_mg,mean_n_mg,sd_n_mg,mean_c_mg_m3,sd_c_mg_m3,mean_n_mg_m3,sd_n_mg_m3,mean_cn,sd_cn
OL22-3,1,0.060759458333333335,0.005795236233321291,0.012115791666666667,0.0012545932939934485,10850.759012539187,1011.306447930046,2160.4622518286315,157.32364493544696,5.890067164937109,0.8323380256584955
OL22-3,2,0.057295458333333334,0.012172159832995948,0.011090458333333334,0.002108817441126661,10321.868791684405,1912.113921758503,2001.130179509011,351.29651044876096,6.015594716739243,0.33677452267065583
OL22-3,4,0.072258125,0.006325017180477325,0.014319125,0.0016094428642649391,13560.608281893004,1342.1004678470376,2683.1130302310858,269.95392743857843,5.9183195353659555,0.6469366027626152
OL22-3,5,0.09005479166666668,0.006098573303104036,0.018101458333333334,6.35580836715522e-4,16676.81327160494,1129.3654265007472,3352.121913580247,117.70015494731899,5.8058017337395444,0.3820830082098301
OL22-3,6,0.094195125,0.009055779222868309,0.01971879166666667,0.00502465066779108,17216.411026602,1361.143218016136,3598.1239895649624,859.7296263951423,5.746136906667919,1.034574809491836
OL22-3,7,0.101652125,0.009838384538801755,0.018557125,0.0024377953838116413,18824.46759259259,1821.9230627410645,3436.50462962963,451.4435895947484,6.4216266618603575,0.48775674948638315
OL22-3,8,0.09839845833333333,0.005615842056183554,0.020852958333333334,4.4618437892871124e-4,17909.67661485891,1481.5732386960963,3791.657434964727,16.370355983868944,5.509750395596116,0.4320816330468897
OL22-3,9,0.11755165833333334,0.015795061463072007,0.022195458333333334,0.003437538460390904,20987.74947979729,2389.968802754842,3966.003375071874,566.2519723202566,6.269208451733288,1.066643731857265
OL22-3,10,0.12654645833333333,NA,0.02242845833333333,NA,21448.552259887005,NA,3801.4336158192086,NA,6.582598434900106,NA
OL22-3,11,0.10726645833333333,NA,0.020730458333333333,NA,19864.158950617282,NA,3838.973765432099,NA,6.036731044564727,NA
OL22-3,12,0.11314695833333334,0.004014245196796041,0.021834958333333335,0.004285774200771665,20204.81398809524,716.8294994278625,3899.0997023809523,765.316821566369,6.1428507617506,0.9912354729769
OL22-3,13,0.11058279166666667,0.006816744848777406,0.020271125,0.0021086361310888443,19630.793092966705,535.07136633065,3592.9608819678265,198.23158702714042,6.383215711312479,0.2721283081815472
OL22-3,14,0.10113345833333334,0.005313428930549465,0.019990125,0.0029047093371511942,18406.15065544503,710.9918514460418,3622.841144282411,289.7022664303468,5.954292909566868,0.553219323096517
OL22-3,15,0.11684870833333333,0.015325938038175668,0.022859208333333336,0.0021821594444286357,21311.003956942197,2435.179728966117,4170.868269808799,320.9197078492621,5.954669662698131,0.42297778531607705
SYN22-5,1,0.16747841666666669,0.013380015856991102,0.034806833333333335,0.002847977235395912,31568.881701631704,1506.251237714941,6560.421911421912,317.00654137079226,5.614580282238564,0.09099631365110483
SYN22-5,2,0.15859675,0.017215442980068784,0.034215833333333334,0.00420463557675732,31719.35,3443.088596013757,6843.166666666667,840.9271153514642,5.414134250568604,0.08489918184870958
SYN22-5,3,0.19164783333333332,0.021105661663761016,0.03791066666666667,0.003148300190723415,37170.01911439474,4493.373862174243,7352.182925118704,713.9328095024675,5.885778693403299,0.171964825681015
SYN22-5,4,0.19494408333333332,0.021406178928835777,0.03670216666666667,0.004171017621636236,37192.55862102676,2976.220227139738,7001.950193657711,596.982681393385,6.2004737857783345,0.1541168470232675
SYN22-5,5,0.22828508333333333,0.021017116104102715,0.04022283333333333,0.0035005594314813935,43840.54123931623,2357.934216946735,7725.522111427667,379.13797160694605,6.619622771774179,0.04567303359301667
SYN22-5,6,0.29729275,0.037520931798131006,0.04784016666666667,0.005901992799046777,54997.390365923384,6082.198091758995,8850.046202768426,949.439471179912,7.24844795295556,0.0490196114646333
SYN22-5,7,0.24162524999999999,0.0646896638768513,0.04035566666666667,0.010707717987507892,47672.574152542365,1462.048137634295,7964.501277912295,224.50259830904767,6.982993153206083,0.017329737990467428
SYN22-5,8,0.27694875,0.018283827854144785,0.0473115,0.0031819972239669433,51909.72281576448,2753.9264133282395,8868.509417537196,501.1800627289882,6.829832693800794,0.05812202318887847
SYN22-5,9,0.27292575,0.072096510254721,0.048933583333333336,0.012740155653811038,47871.469724125185,9109.417792324462,8583.603353672941,1586.5255736182035,6.502587999037646,0.18670640106917152
SYN22-5,10,0.23381408333333334,0.03366499416802761,0.04432016666666667,0.005605535389238035,42645.77380952381,4472.289057332415,8087.635836385837,701.1672736776171,6.145508673823553,0.15397503743402494
SYN22-5,11,0.2706660833333333,0.029111267755515785,0.0510425,0.0031914913964059726,48830.45512911759,2112.9215054511615,9228.314324519886,175.89726338732916,6.174769574711169,0.2891840327176046
SYN22-5,12,0.2575104166666667,0.01573887169822963,0.05047616666666667,0.002455141747435373,48566.241830065366,1814.593471173163,9521.38586298717,221.42745780206013,5.9495951872666835,0.08297997911984804
SYN22-5,13,0.24989475,0.012346521088954586,0.050856166666666675,0.0026271130542860153,46852.100503663,909.3266707077044,9533.515720390722,115.35603724484685,5.733321148843555,0.062068918601252944
SYN22-5,14,0.2515510833333333,0.01770214694135527,0.051966500000000006,0.0035568958845225286,48338.928798670466,1642.0674247062923,9985.999414371638,301.8092504343632,5.647232384126715,0.06103614648614472
SYN22-5,15,0.2689878333333333,0.03025582813715651,0.05248683333333334,0.005700913058183725,50605.718415109666,4898.262023633726,9882.312155990314,992.7569194386944,5.9798953595114615,0.2632180988710547
TP22-14,1,0.017075470588235296,0.0029878661281924944,0.003538607843137255,4.22911732319326e-4,3193.5424107893587,468.35119037006393,662.4349117401282,60.66088633458135,5.606296895964242,0.2967750184294966
TP22-14,2,0.020744220588235295,0.006401497676325438,0.004146691176470588,0.0011071543639955025,3769.874672479408,1099.2419971976421,755.2198325949773,188.5950702027863,6.138621166457479,2.3497068462386195
TP22-14,3,0.028679470588235292,0.0035179145811119355,0.005363941176470589,0.0012890488741704098,5415.637148105429,681.9345888612942,1014.5749498056305,253.20423600533294,6.387392610806687,0.9706010292117313
TP22-14,4,0.0392324705882353,0.00630717900491179,0.005975274509803921,6.444294634274049e-4,7328.308403288796,1330.8859400123754,1112.6146050753894,101.88094674068381,7.693005446020781,1.3240423848739686
TP22-14,5,0.05250880392156862,0.007247958149253714,0.007637941176470588,0.0017821927505183048,9593.998470402174,1168.5624016844108,1391.0154409330762,279.53471913038743,8.166362412397357,1.0184320742971105
TP22-14,6,0.0470364705882353,0.004566044130316746,0.005730607843137255,0.0018032393998949042,8591.71482628139,501.3503693607939,1041.5586753293396,286.54997291301294,9.979300235187164,1.960608144707355
