phyto,wl,var1,var2,cor,statistic,p,method
o_lucimarinus,470,ap,ppc_chla,-0.01,3310,0.96,Spearman
o_lucimarinus,532,ap,ppc_chla,0.23,2534,0.255,Spearman
o_lucimarinus,660,ap,ppc_chla,-0.011,3312,0.958,Spearman
o_lucimarinus,470,ap,chlb_chla,-0.32,4322,0.105,Spearman
o_lucimarinus,532,ap,chlb_chla,-0.43,4673.999999999999,0.0274,Spearman
o_lucimarinus,660,ap,chlb_chla,-0.3,4253.999999999999,0.13,Spearman
o_lucimarinus,470,ap,Fv_Fm,0.8,519.9999999999999,3.53e-6,Spearman
o_lucimarinus,532,ap,Fv_Fm,0.7,777.9999999999999,1.44e-4,Spearman
o_lucimarinus,660,ap,Fv_Fm,0.81,495.9999999999998,2.72e-6,Spearman
o_lucimarinus,470,ap,red,0.12,2585.942036419171,0.573,Spearman
o_lucimarinus,532,ap,red,-0.16,3390.079507566624,0.438,Spearman
o_lucimarinus,660,ap,red,0.13,2547.93553902663,0.53,Spearman
o_lucimarinus,470,cp,ap,0.57,1416.0000000000002,0.00238,Spearman
o_lucimarinus,532,cp,ap,0.13,2834,0.501,Spearman
o_lucimarinus,660,cp,ap,0.32,2222,0.102,Spearman
o_lucimarinus,470,cp,cp,1,3.637090628672013e-13,0,Spearman
o_lucimarinus,532,cp,cp,1,3.637090628672013e-13,0,Spearman
o_lucimarinus,660,cp,cp,1,3.637090628672013e-13,0,Spearman
o_lucimarinus,470,cp,bbp,0.51,1614.0000000000002,0.0076,Spearman
o_lucimarinus,532,cp,bbp,0.68,1040.0000000000002,1.3e-4,Spearman
o_lucimarinus,660,cp,bbp,0.61,1282.0000000000002,9.58e-4,Spearman
o_lucimarinus,470,cp,bb_b,-0.66,5439.999999999999,2.5e-4,Spearman
o_lucimarinus,532,cp,bb_b,-0.7,5566,7.71e-5,Spearman
o_lucimarinus,660,cp,bb_b,-0.69,5550,9.04e-5,Spearman
o_lucimarinus,470,cp,cells,0.46,1766.0000000000002,0.0164,Spearman
o_lucimarinus,532,cp,cells,0.3,2294.0000000000005,0.129,Spearman
o_lucimarinus,660,cp,cells,0.21,2588.0000000000005,0.292,Spearman
o_lucimarinus,470,cp,fsc,0.54,1347.7303582095367,0.00447,Spearman
o_lucimarinus,532,cp,fsc,0.64,1065.6821407175196,4.84e-4,Spearman
o_lucimarinus,660,cp,fsc,0.61,1132.693596646474,8.75e-4,Spearman
o_lucimarinus,470,cp,ssc,0.63,1081.6848764617478,5.6e-4,Spearman
o_lucimarinus,532,cp,ssc,0.6,1161.6985551828873,0.00112,Spearman
o_lucimarinus,660,cp,ssc,0.52,1402.7397623303202,0.00642,Spearman
o_lucimarinus,470,cp,poc_optics,0.49,233.99999999999997,0.0809,Spearman
o_lucimarinus,532,cp,poc_optics,0.4,272,0.155,Spearman
o_lucimarinus,660,cp,poc_optics,0.37,286,0.192,Spearman
o_lucimarinus,470,cp,poc_cell,0.69,142,0.00838,Spearman
o_lucimarinus,532,cp,poc_cell,0.75,114,0.00299,Spearman
o_lucimarinus,660,cp,poc_cell,0.79,95.99999999999996,0.00128,Spearman
o_lucimarinus,470,cp,cn,0.02,446,0.952,Spearman
o_lucimarinus,532,cp,cn,-0.0066,458,0.988,Spearman
o_lucimarinus,660,cp,cn,0.0022,454,1,Spearman
o_lucimarinus,470,cp,c_chl,0.36,289.99999999999994,0.203,Spearman
o_lucimarinus,532,cp,c_chl,0.39,275.99999999999994,0.165,Spearman
o_lucimarinus,660,cp,c_chl,0.4,272,0.155,Spearman
o_lucimarinus,470,cp,chl_line_height,0.63,1222.0000000000005,6.12e-4,Spearman
o_lucimarinus,532,cp,chl_line_height,0.49,1682.0000000000002,0.0109,Spearman
o_lucimarinus,660,cp,chl_line_height,0.38,2026,0.0504,Spearman
o_lucimarinus,470,cp,chl_cell,0.13,2864,0.53,Spearman
o_lucimarinus,532,cp,chl_cell,0.25,2458,0.208,Spearman
o_lucimarinus,660,cp,chl_cell,0.28,2352,0.154,Spearman
o_lucimarinus,470,cp,ppc_chla,-0.39,4540,0.0477,Spearman
o_lucimarinus,532,cp,ppc_chla,-0.39,4548,0.0462,Spearman
o_lucimarinus,660,cp,ppc_chla,-0.43,4692,0.0253,Spearman
o_lucimarinus,470,cp,chlb_chla,0.1,2944,0.614,Spearman
o_lucimarinus,532,cp,chlb_chla,0.13,2858,0.524,Spearman
o_lucimarinus,660,cp,chlb_chla,0.24,2501.9999999999995,0.234,Spearman
o_lucimarinus,470,cp,Fv_Fm,0.46,1392,0.0203,Spearman
o_lucimarinus,532,cp,Fv_Fm,0.34,1720,0.0984,Spearman
o_lucimarinus,660,cp,Fv_Fm,0.29,1842,0.157,Spearman
o_lucimarinus,470,cp,red,0.66,981.6677780603233,2.14e-4,Spearman
o_lucimarinus,532,cp,red,0.76,703.6202445043633,6.83e-6,Spearman
o_lucimarinus,660,cp,red,0.79,600.6026331508964,1.25e-6,Spearman
o_lucimarinus,470,bbp,ap,-0.06,3472,0.766,Spearman
o_lucimarinus,532,bbp,ap,-0.12,3676,0.543,Spearman
o_lucimarinus,660,bbp,ap,-0.029,3371.9999999999995,0.885,Spearman
o_lucimarinus,470,bbp,cp,0.51,1614.0000000000002,0.0076,Spearman
o_lucimarinus,532,bbp,cp,0.68,1040.0000000000002,1.3e-4,Spearman
o_lucimarinus,660,bbp,cp,0.61,1282.0000000000002,9.58e-4,Spearman
o_lucimarinus,470,bbp,bbp,1,3.637090628672013e-13,0,Spearman
o_lucimarinus,532,bbp,bbp,1,3.637090628672013e-13,0,Spearman
o_lucimarinus,660,bbp,bbp,1,3.637090628672013e-13,0,Spearman
o_lucimarinus,470,bbp,bb_b,0.18,2694,0.374,Spearman
o_lucimarinus,532,bbp,bb_b,-0.044,3420,0.828,Spearman
o_lucimarinus,660,bbp,bb_b,0.013,3232,0.948,Spearman
o_lucimarinus,470,bbp,cells,-0.026,3360,0.899,Spearman
o_lucimarinus,532,bbp,cells,0.22,2564,0.275,Spearman
o_lucimarinus,660,bbp,cells,0.074,3034,0.713,Spearman
o_lucimarinus,470,bbp,fsc,0.15,2491.925963921832,0.47,Spearman
o_lucimarinus,532,bbp,fsc,0.095,2646.95246644404,0.644,Spearman
o_lucimarinus,660,bbp,fsc,-0.025,2997.0123108490257,0.905,Spearman
o_lucimarinus,470,bbp,ssc,-0.097,3208.048388476031,0.638,Spearman
o_lucimarinus,532,bbp,ssc,0.012,2890.9941865435158,0.955,Spearman
o_lucimarinus,660,bbp,ssc,-0.17,3421.0848080710657,0.408,Spearman
o_lucimarinus,470,bbp,poc_optics,0.53,216.00000000000003,0.0567,Spearman
o_lucimarinus,532,bbp,poc_optics,0.66,154,0.0122,Spearman
o_lucimarinus,660,bbp,poc_optics,0.64,166.00000000000003,0.0172,Spearman
o_lucimarinus,470,bbp,poc_cell,0.45,252,0.112,Spearman
o_lucimarinus,532,bbp,poc_cell,0.38,282,0.181,Spearman
o_lucimarinus,660,bbp,poc_cell,0.35,296,0.221,Spearman
o_lucimarinus,470,bbp,cn,0.095,412,0.75,Spearman
o_lucimarinus,532,bbp,cn,0.23,350,0.426,Spearman
o_lucimarinus,660,bbp,cn,0.19,368,0.512,Spearman
o_lucimarinus,470,bbp,c_chl,0.55,204.00000000000003,0.0439,Spearman
o_lucimarinus,532,bbp,c_chl,0.48,235.99999999999997,0.084,Spearman
o_lucimarinus,660,bbp,c_chl,0.63,170,0.0192,Spearman
o_lucimarinus,470,bbp,chl_line_height,-0.012,3316,0.953,Spearman
o_lucimarinus,532,bbp,chl_line_height,0.24,2474,0.218,Spearman
o_lucimarinus,660,bbp,chl_line_height,0.034,3164,0.866,Spearman
