time, beta470, beta532, beta660
yyyy/mm/dd HH:MM:SS.fff, counts, counts, counts
2022/08/25 22:35:42.542, 101, 139, 107
2022/08/25 22:35:44.048, 117, 141, 109
2022/08/25 22:35:45.554, 106, 140, 110
2022/08/25 22:35:47.060, 103, 147, 104
2022/08/25 22:35:48.566, 111, 153, 104
2022/08/25 22:35:50.071, 112, 144, 96
2022/08/25 22:35:51.577, 122, 135, 105
2022/08/25 22:35:53.082, 105, 143, 98
2022/08/25 22:35:54.588, 109, 144, 109
2022/08/25 22:35:56.093, 110, 145, 103
2022/08/25 22:35:57.599, 116, 138, 101
2022/08/25 22:35:59.105, 120, 135, 106
2022/08/25 22:36:00.611, 112, 142, 101
2022/08/25 22:36:02.116, 104, 135, 80
2022/08/25 22:36:03.621, 105, 131, 96
2022/08/25 22:36:05.127, 105, 142, 111
2022/08/25 22:36:06.647, 108, 141, 103
2022/08/25 22:36:08.139, 113, 148, 103
2022/08/25 22:36:09.644, 109, 127, 91
2022/08/25 22:36:11.150, 110, 136, 103
2022/08/25 22:36:12.655, 106, 143, 96
2022/08/25 22:36:14.160, 105, 144, 96
2022/08/25 22:36:15.666, 107, 144, 100
2022/08/25 22:36:17.172, 108, 141, 101
2022/08/25 22:36:18.678, 115, 131, 105
2022/08/25 22:36:20.184, 108, 141, 109
2022/08/25 22:36:21.690, 111, 132, 102
2022/08/25 22:36:23.196, 110, 138, 107
2022/08/25 22:36:24.702, 108, 135, 101
2022/08/25 22:36:26.208, 116, 145, 100
2022/08/25 22:36:27.713, 116, 141, 109
2022/08/25 22:36:29.219, 107, 150, 100
2022/08/25 22:36:30.725, 112, 141, 103
2022/08/25 22:36:32.231, 114, 139, 115
2022/08/25 22:36:33.737, 109, 145, 104
2022/08/25 22:36:35.243, 111, 131, 108
2022/08/25 22:36:36.749, 116, 148, 102
2022/08/25 22:36:38.255, 106, 142, 106
2022/08/25 22:36:39.761, 118, 141, 111
2022/08/25 22:36:41.267, 112, 144, 103
2022/08/25 22:36:42.772, 106, 147, 98
2022/08/25 22:36:44.278, 108, 154, 103
2022/08/25 22:36:45.784, 115, 136, 99
2022/08/25 22:36:47.289, 116, 141, 84
2022/08/25 22:36:48.794, 118, 139, 102
2022/08/25 22:36:50.301, 108, 144, 102
2022/08/25 22:36:51.806, 111, 140, 106
2022/08/25 22:36:53.312, 116, 135, 101
2022/08/25 22:36:54.818, 109, 129, 101
2022/08/25 22:36:56.324, 104, 139, 101
2022/08/25 22:36:57.829, 113, 136, 111
2022/08/25 22:36:59.335, 113, 126, 102
2022/08/25 22:37:00.841, 107, 141, 108
2022/08/25 22:37:02.346, 104, 142, 89
2022/08/25 22:37:03.851, 111, 143, 97
2022/08/25 22:37:05.357, 111, 142, 101
2022/08/25 22:37:06.863, 106, 143, 110
2022/08/25 22:37:08.369, 113, 136, 107
2022/08/25 22:37:09.875, 113, 139, 100
2022/08/25 22:37:11.381, 105, 146, 113
2022/08/25 22:37:12.887, 111, 138, 112
2022/08/25 22:37:14.393, 118, 142, 103
2022/08/25 22:37:15.898, 108, 140, 100
2022/08/25 22:37:17.404, 118, 149, 95
2022/08/25 22:37:18.909, 114, 131, 104
2022/08/25 22:37:20.415, 110, 135, 100
2022/08/25 22:37:21.921, 104, 142, 102
2022/08/25 22:37:23.426, 115, 141, 98
2022/08/25 22:37:24.932, 118, 136, 100
2022/08/25 22:37:26.438, 102, 124, 111
2022/08/25 22:37:27.944, 108, 140, 104
