exp,exp_no,phyto,source,tp,datetime,date,time,plot_date,plot_datetime,mean_cells,sd_cells,mean_grn,sd_grn,mean_yel,sd_yel,mean_red,sd_red,mean_fsc,sd_fsc,mean_ssc,sd_ssc
TP22-14,2,italic('T. Pseudonana'),Culture,5,2022-05-18T17:00:00Z,2022-05-18,17:00:00,2022-11-27,2022-11-27T17:00:00Z,712893.3333333334,13498.816886428727,0.9979543399130975,0.0055107030962207775,1.5964703457782545,0.003221632254571916,1.6109983989436043,0.011460341520430885,2.0754270718306187,0.002222567957487986,1.4381584904135354,0.007605405545764379
TP22-14,2,italic('T. Pseudonana'),Culture,6,2022-05-18T19:00:00Z,2022-05-18,19:00:00,2022-11-27,2022-11-27T19:00:00Z,590647.3333333334,60110.95055256849,0.937296864658932,0.021168265375809386,1.5713440253863098,0.010657832983867022,1.6338906481998647,0.003321890263987143,2.068768158726146,0.003985882711503704,1.4588049975883535,0.018813835243343183
TP22-14,2,italic('T. Pseudonana'),Culture,7,2022-05-18T21:00:00Z,2022-05-18,21:00:00,2022-11-27,2022-11-27T21:00:00Z,602166.3333333334,38548.91791390951,0.8511956679373109,0.03002493719127243,1.540825356905457,0.01690432690471494,1.6516865725786447,0.02161181696207347,2.102446560764887,0.010037629780154404,1.44210554665027,0.029493783346835337
TP22-14,2,italic('T. Pseudonana'),Culture,8,2022-05-18T23:00:00Z,2022-05-18,23:00:00,2022-11-27,2022-11-27T23:00:00Z,548449.3333333334,73565.21018343748,0.7887609032066845,0.014425059506402356,1.5013905987087626,0.010872483649612203,1.5776819838472749,0.011933076466482053,2.1142307570700805,0.006873693022390716,1.3499552319013752,0.02048501923333963
TP22-14,2,italic('T. Pseudonana'),Culture,9,2022-05-19T01:00:00Z,2022-05-19,01:00:00,2022-11-28,2022-11-28T01:00:00Z,576752,46626.65452292283,0.7715525116693503,0.015885100397858582,1.4812879473002754,0.018175538831707465,1.5528144457038875,0.011996579799535965,2.094896318747985,0.016311600833464675,1.3223604563061102,0.019631595192873403
TP22-14,2,italic('T. Pseudonana'),Culture,10,2022-05-19T03:00:00Z,2022-05-19,03:00:00,2022-11-28,2022-11-28T03:00:00Z,581120,76460.67195624165,0.7401845386054421,0.018329039086985025,1.4771885199900563,0.012481962079744658,1.5312077651198461,0.009574884456513772,2.0204893645617292,0.017478535317579157,1.295555191029983,0.017305474504827535
TP22-14,2,italic('T. Pseudonana'),Culture,11,2022-05-19T05:00:00Z,2022-05-19,05:00:00,2022-11-28,2022-11-28T05:00:00Z,610942,138698.41513514132,0.708366224696166,0.00784231880141172,1.4691841394362768,0.005244987847529394,1.517966998171125,0.004111177411812493,1.9408044413280021,0.006772195317260063,1.283567118036211,0.005607292965252205
TP22-14,2,italic('T. Pseudonana'),Culture,12,2022-05-19T07:00:00Z,2022-05-19,07:00:00,2022-11-28,2022-11-28T07:00:00Z,649718.3333333334,50831.99860652081,0.6919896506536622,0.012046729539565105,1.46023961110357,0.011449745422828788,1.5192914710735492,0.005446480695387141,1.8836958048789358,0.009002437315460307,1.2713809281839423,0.01243899588737111
TP22-14,2,italic('T. Pseudonana'),Culture,13,2022-05-19T09:00:00Z,2022-05-19,09:00:00,2022-11-28,2022-11-28T09:00:00Z,481365.3333333333,32605.88783231233,0.6764388862087921,0.009108865504657466,1.4594491103652822,3.506183369776594e-4,1.4924594154239677,0.006541406740304783,1.8455000663265946,0.008457786525985351,1.262971193717682,0.007840501867801884
SYN22-4,1,italic('Synechococcus ') (WH8102),Culture,1,2022-08-16T09:00:00Z,2022-08-16,09:00:00,2022-11-27,2022-11-27T09:00:00Z,7460907.5,388728.4174233986,1.477723856127181,0.005531750063037887,1.2866895989088647,0.00490506322673057,0.4234077385755477,0.001975837958140004,1.6465998823416557,0.024648216276151862,2.1945415224369453,0.002035532783369099
