0.097757,0.035649,0.0019921,2.6462e-06,3.5053e-08,4.6095e-09,4.1115e-19,8.7262e-28,2.2787e-31,3.8207e-63,4.5266e-104,7.6281e-124,4.1928e-166
0.093362,0.038099,0.0054839,1.3366e-05,2.213e-07,2.3102e-08,6.9847e-18,2.7929e-26,5.9626e-30,1.3149e-60,3.5152e-100,2.9737e-116,-8.7655e-133
0.089611,0.037705,0.011948,5.0018e-05,1.0291e-06,9.0635e-08,7.9652e-17,5.6033e-25,1.0211e-28,2.1672e-58,8.9747e-97,5.6411e-114,-1.6418e-130
0.08627,0.035216,0.022154,0.00015313,3.913e-06,3.0342e-07,7.0399e-16,8.3578e-24,1.3391e-27,2.2403e-56,1.118e-93,1.2272e-111,-3.0803e-128
0.082557,0.030325,0.039955,0.00049352,1.6512e-05,1.1457e-06,8.0081e-15,1.7435e-22,2.4589e-26,4.3607e-54,3.8185e-90,1.5006e-108,-3.1449e-126
0.078924,0.024066,0.063549,0.0014214,6.3949e-05,4.1228e-06,8.6887e-14,3.5152e-21,4.4571e-25,8.4267e-52,1.2818e-86,1.0406e-104,3.6737e-123
0.075,0.016831,0.090718,0.0039768,0.00025666,1.5994e-05,1.1436e-12,9.3414e-20,1.081e-23,2.8583e-49,1.0674e-82,2.2232e-100,-3.1323e-120
0.071771,0.011394,0.10667,0.008356,0.00075222,4.7475e-05,9.4998e-12,1.4229e-18,1.5602e-22,3.8605e-47,2.1857e-79,1.0167e-96,-3.1979e-118
0.068545,0.0069888,0.10943,0.015729,0.0020481,0.00013656,7.8159e-11,2.2058e-17,2.3436e-21,5.7297e-45,5.1925e-76,5.5511e-93,4.3994e-115
0.06566,0.004107,0.098127,0.024875,0.0046648,0.00034025,5.0841e-10,2.5948e-16,2.7388e-20,5.508e-43,6.4949e-73,1.5243e-89,7.3542e-113
0.062457,0.0020212,0.073557,0.036067,0.010586,0.00089818,3.9837e-09,4.0487e-15,4.3602e-19,9.6761e-41,2.1107e-69,1.2292e-85,-5.3244e-110
0.059352,0.00088687,0.045844,0.044057,0.02097,0.0021861,2.8522e-08,5.8523e-14,6.6347e-18,1.619e-38,6.521e-66,9.5923e-82,2.3544e-107
0.056401,0.00035154,0.023851,0.044923,0.035613,0.0048068,1.7882e-07,7.4079e-13,9.1198e-17,2.3215e-36,1.6213e-62,6.0179e-78,5.5061e-107
0.053973,0.00014581,0.011739,0.039513,0.049698,0.0087422,7.8331e-07,5.9485e-12,8.0616e-16,1.4856e-34,1.1518e-59,9.4797e-75,2.0693e-101
0.05165,5.6075e-05,0.005051,0.030382,0.061846,0.014741,3.1085e-06,4.328e-11,6.6086e-15,8.5053e-33,7.1011e-57,1.3074e-71,1.3602e-98
0.04918,1.7698e-05,0.0016857,0.019355,0.06895,0.024132,1.2844e-05,3.5123e-10,6.2939e-14,6.7262e-31,7.4307e-54,3.3316e-68,2.6317e-94
0.048545,1.283e-05,0.0012252,0.016699,0.069296,0.027073,1.8334e-05,5.9968e-10,1.1267e-13,2.0954e-30,4.5546e-53,2.5851e-67,3.8369e-93
0.046641,4.5746e-06,0.00042635,0.0098512,0.066092,0.037005,5.1913e-05,2.9461e-09,6.4834e-13,6.4824e-29,1.1008e-50,1.2929e-64,1.2896e-89
0.044278,1.0903e-06,9.1554e-05,0.0042012,0.053945,0.050596,0.00017779,2.0652e-08,5.7442e-12,4.871e-27,1.1274e-47,3.3985e-61,3.8216e-85
0.04216,2.5627e-07,1.8093e-05,0.0015848,0.038482,0.061681,0.00049986,1.1404e-07,4.0742e-11,2.4667e-25,6.3524e-45,4.6741e-58,5.0242e-81
0.040064,5.1394e-08,2.8033e-06,0.00048128,0.023283,0.068618,0.0012871,5.9286e-07,2.8334e-10,1.26e-23,3.7389e-42,6.9464e-55,7.4139e-77
0.038225,1.0685e-08,4.2846e-07,0.00013676,0.012787,0.069187,0.0027362,2.4081e-06,1.5469e-09,4.1282e-22,1.1091e-39,4.8582e-52,4.2066e-73
0.036361,1.8281e-09,4.9084e-08,3.0304e-05,0.0058553,0.06349,0.0053933,9.4514e-06,8.5606e-09,1.4633e-20,3.8555e-37,4.1915e-49,3.1762e-69
0.034622,2.9469e-10,4.9615e-09,5.8476e-06,0.0023593,0.053086,0.0092665,3.1894e-05,4.1643e-08,4.1837e-19,9.7532e-35,2.5838e-46,1.5738e-65
0.032966,4.3253e-11,4.2449e-10,9.5507e-07,0.00082477,0.040413,0.014086,9.5218e-05,1.8444e-07,1.0377e-17,2.0226e-32,1.3052e-43,6.1164e-62
0.031265,4.8844e-12,2.4634e-11,1.1152e-07,0.0002255,0.027073,0.019301,0.00027078,8.2999e-07,2.8517e-16,5.1945e-30,8.7888e-41,3.5758e-58
0.029532,4.1388e-13,9.2718e-13,8.9062e-09,4.644e-05,0.015569,0.023081,0.00071006,3.7017e-06,8.3565e-15,1.5623e-27,7.4491e-38,2.9377e-54
0.028064,4.0841e-14,4.0718e-14,7.6655e-10,9.5965e-06,0.0085217,0.023536,0.0014618,1.2667e-05,1.4583e-13,2.055e-25,2.4776e-35,7.1145e-51
0.026669,3.6407e-15,1.4927e-15,5.5075e-11,1.7002e-06,0.0042138,0.021018,0.0026354,3.9156e-05,2.1818e-12,2.1795e-23,6.6426e-33,1.326e-47
0.026114,1.3063e-15,3.6308e-16,1.7672e-11,7.9721e-07,0.0030614,0.019301,0.0032321,6.0505e-05,6.3561e-12,1.397e-22,6.2362e-32,2.7269e-46
