amps1,amps2,amps3,amps4,amps5,amps6,amps7,amps8,amps9,amps10,amps11,amps12,amps13
0.150578020431337,0,0.0184719319813879,0.0297936854586882,0.0130567413804585,0.0481529950654056,0.00476494419937623,0.0125504642874202,0.00175586445326619,0.00292138975902296,0.00845207243633529,0.00237507897313576,0.0421241818848201
0.180960068073349,0,0,0.0266889591784918,0,0.0495519387256857,0,0.00222553401971687,0,0.000598458621834774,0.00534748362565731,0,0.0629872581461165
0,0,0,0,0,0,0,0,0,0,0,0,0
0.212704032341351,0,0.0128543311528371,0.0259403056623539,0.0161317308573358,0.0527495046418238,0,0.00948589336808573,6.72095563439834e-05,0.00401159188138984,0.00877425053913223,0.00262022499553802,0.0447317990126586
0.250785385501374,0,0.0253043287426306,0.023507608473319,0.0087197683985768,0.053031554055299,0,0,0,0.00234749935295521,0.006808910442957,0,0.0568303773385486
0.189682069094723,0,0.0440938103131491,0.0571274231695338,0.00884455177213871,0.0784622449319862,0.00495619539312238,0.0166146569559797,0.00685075743973135,0.00562295462907212,0.0136582288808189,0,0.0547768360798126
0.226799426470397,0,0.0542705069565465,0.046626697936501,0.0138557134573978,0.079372305138207,0.00345146244972303,0.0157605321706108,0.00450298593139865,0.00647314965453799,0.0137107255456757,0,0.0528256362831063
0.217870710129365,0,0.0387139285062399,0.0400299280868153,0.0150604274352767,0.0641958045317362,0,0.0121347228063885,0.00277656382626262,0.00439037976892328,0.0112756061394852,0,0.053055162069804
0.20334225555374,0,0.10241634837795,0.0184491884065746,0.041718455757649,0.0847655018653602,0.00681746401885681,0.0206128826543364,0.00776236399705236,0.00692634890596566,0.0138905913852049,0,0.066035537245682
0.184974328006894,0,0.069848181166399,0.0544620480570899,0.0157216585520253,0.0966625549396537,0.0103820219290889,0.024144176585064,0.00891495898379078,0.00789871116449522,0.0162195159384794,0,0.0675113922446479
0.185779998374851,0,0.0720176792458159,0.0541962228883253,0.0183612866142537,0.100549682993553,0.0139543212713554,0.0261755293361401,0.011812235402791,0.000755928978067117,0.0223400759781241,0,0.0687844050727467
0.319205806467996,0,0,0.025108737832539,0,0.0547701169647075,0,0,0,0,0.00684967146701686,0,0.107738637631243
0.19849742607791,0.00315862967898157,0.0894606761040981,0.062862658127223,0.0289734485562886,0.113916810150679,0.0121264934595867,0.0299402982456021,0.00904543913964243,0.0103670527689603,0.0186095087665928,0,0.078099152013288
