exp,exp_no,phyto,source,tp,datetime,date,time,plot_date,plot_datetime,wl,mean_cp,sd_cp,mean_ap,sd_ap,mean_bp,sd_bp,mean_abs_line_height,sd_abs_line_height,mean_chl_line_height,sd_chl_line_height
TP22-14,2,italic('T. Pseudonana'),Optics,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,400,0.35974324161032994,0.1161545884678724,0.027560249311846835,0.005785215951436028,0.33218299229848314,0.11086204256496725,0.017571151808581275,0.0011750197636312542,2.1122251291843765,0.08392998311651811
TP22-14,2,italic('T. Pseudonana'),Optics,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,404.6,0.3574870954436633,0.11547036089822293,0.028828989187048366,0.006187433620662049,0.32865810625661496,0.10960655844606788,0.017571151808581275,0.0011750197636312542,2.1122251291843765,0.08392998311651811
TP22-14,2,italic('T. Pseudonana'),Optics,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,408.7,0.35503394583333336,0.11622537311950776,0.029779866081103067,0.004051314261630398,0.3252540797522303,0.1122145429672383,0.017571151808581275,0.0011750197636312542,2.1122251291843765,0.08392998311651811
TP22-14,2,italic('T. Pseudonana'),Optics,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,412.5,0.35344419281925,0.11408510610021495,0.0302738001626867,0.0058432363832972055,0.3231703926565633,0.10824539292462963,0.017571151808581275,0.0011750197636312542,2.1122251291843765,0.08392998311651811
TP22-14,2,italic('T. Pseudonana'),Optics,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,416.9,0.35086790166666665,0.11400127144588289,0.0317316210506578,0.004097064394389894,0.31913628061600885,0.10991061465846866,0.017571151808581275,0.0011750197636312542,2.1122251291843765,0.08392998311651811
TP22-14,2,italic('T. Pseudonana'),Optics,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,421.4,0.3484206429166667,0.1140303429936446,0.032721867962797066,0.003985375380190269,0.3156987749538696,0.1100921961806478,0.017571151808581275,0.0011750197636312542,2.1122251291843765,0.08392998311651811
TP22-14,2,italic('T. Pseudonana'),Optics,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,426.5,0.3469191702666667,0.11246461943124425,0.03334487659602233,0.0045760711912192185,0.3135742936706443,0.10808232976603296,0.017571151808581275,0.0011750197636312542,2.1122251291843765,0.08392998311651811
TP22-14,2,italic('T. Pseudonana'),Optics,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,430.9,0.34525205000000003,0.11372864476392702,0.034661060015366,0.0037136309058611746,0.310590989984634,0.11005986956668648,0.017571151808581275,0.0011750197636312542,2.1122251291843765,0.08392998311651811
TP22-14,2,italic('T. Pseudonana'),Optics,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,435.5,0.3438038741666667,0.11111414860873821,0.03498968724918433,0.005025952246425367,0.30881418691748236,0.1065126449640143,0.017571151808581275,0.0011750197636312542,2.1122251291843765,0.08392998311651811
TP22-14,2,italic('T. Pseudonana'),Optics,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,439.8,0.34384562083333337,0.11105329214003182,0.034402450429032,0.0052918196744695415,0.30944317040430136,0.10628200313326734,0.017571151808581275,0.0011750197636312542,2.1122251291843765,0.08392998311651811
TP22-14,2,italic('T. Pseudonana'),Optics,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,444.8,0.34451795291666665,0.11122894558109035,0.032533101648763565,0.0035944455961303074,0.3119848512679031,0.10809217503458682,0.017571151808581275,0.0011750197636312542,2.1122251291843765,0.08392998311651811
TP22-14,2,italic('T. Pseudonana'),Optics,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,449.9,0.3452011175,0.11044268721462155,0.029235017469006464,0.0041136928741970875,0.3159661000309935,0.10670365707127734,0.017571151808581275,0.0011750197636312542,2.1122251291843765,0.08392998311651811
TP22-14,2,italic('T. Pseudonana'),Optics,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,455,0.34533274833333333,0.11073254743488882,0.026553279719116366,0.003172394763167461,0.31877946861421697,0.10812794980189834,0.017571151808581275,0.0011750197636312542,2.1122251291843765,0.08392998311651811
