exp,exp_no,phyto,source,tp,datetime,date,time,plot_date,plot_datetime,wl,mean_cp,sd_cp,mean_ap,sd_ap,mean_bp,sd_bp,mean_abs_line_height,sd_abs_line_height,mean_chl_line_height,sd_chl_line_height
TP22-14,2,italic('T. Pseudonana'),Optics,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,400,0.3597418529333667,0.11615107827080223,0.036863484760386,0.008698154513053233,0.32287836817298066,0.10773638212763545,0.01557935173528878,0.0010037749084487358,1.9699536953777699,0.07169820774633813
TP22-14,2,italic('T. Pseudonana'),Optics,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,404.6,0.35748570676670005,0.11546679570975386,0.037795118510386,0.009079952719933494,0.319690588256314,0.10661798084752887,0.01557935173528878,0.0010037749084487358,1.9699536953777699,0.07169820774633813
TP22-14,2,italic('T. Pseudonana'),Optics,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,408.7,0.35503394583333336,0.11622537311950776,0.038421836483169,0.007255453430389962,0.3166121093501644,0.10898078284004749,0.01557935173528878,0.0010037749084487358,1.9699536953777699,0.07169820774633813
TP22-14,2,italic('T. Pseudonana'),Optics,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,412.5,0.35344384565000997,0.11408422000023812,0.03871614782330633,0.008682126563057719,0.3147276978267036,0.10540937217798368,0.01557935173528878,0.0010037749084487358,1.9699536953777699,0.07169820774633813
TP22-14,2,italic('T. Pseudonana'),Optics,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,416.9,0.35086790166666665,0.11400127144588289,0.03978850939983567,0.00707672239903686,0.31107939226683096,0.10692483836216761,0.01557935173528878,0.0010037749084487358,1.9699536953777699,0.07169820774633813
TP22-14,2,italic('T. Pseudonana'),Optics,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,421.4,0.3484206429166667,0.1140303429936446,0.04045000689983567,0.0069560620281862665,0.307970636016831,0.10710101227234738,0.01557935173528878,0.0010037749084487358,1.9699536953777699,0.07169820774633813
TP22-14,2,italic('T. Pseudonana'),Optics,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,426.5,0.3469191702666667,0.11246461943124425,0.04086983856650233,0.007248511089611329,0.30604933170016435,0.10529460215576611,0.01557935173528878,0.0010037749084487358,1.9699536953777699,0.07169820774633813
TP22-14,2,italic('T. Pseudonana'),Optics,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,430.9,0.34525205000000003,0.11372864476392702,0.041900710649835665,0.006653922501876806,0.30335133935016434,0.10708962019105997,0.01557935173528878,0.0010037749084487358,1.9699536953777699,0.07169820774633813
TP22-14,2,italic('T. Pseudonana'),Optics,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,435.5,0.3438038741666667,0.11111414860873821,0.042059411483168996,0.007410871512100221,0.3017444626834977,0.10389365077457204,0.01557935173528878,0.0010037749084487358,1.9699536953777699,0.07169820774633813
TP22-14,2,italic('T. Pseudonana'),Optics,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,439.8,0.34384562083333337,0.11105329214003182,0.041532328149835665,0.007618783595610192,0.3023132926834977,0.10368345856522489,0.01557935173528878,0.0010037749084487358,1.9699536953777699,0.07169820774633813
