exp,exp_no,phyto,source,bottle,tp,datetime,date,time,plot_date,plot_datetime,wl,cp,c_se,ap,a_se,bp,abs_line_height,chl_line_height
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,479.2,0.450943085,2.3459159599144132e-4,0.0317956336440388,8.60650553435748e-5,0.4191474513559612,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,484.1,0.44852968,2.2859965985496015e-4,0.0307784173940388,8.011581993781865e-5,0.4177512626059612,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,489.2,0.44578622105,2.3349228734527704e-4,0.0302436186440388,7.588777838258446e-5,0.4155426024059612,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,493.9,0.4436755825,2.3258760914351238e-4,0.0294407423940388,7.211575177237892e-5,0.4142348401059612,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,498.9,0.44157343125,2.3315505650830216e-4,0.0284218711440388,6.573246145501274e-5,0.41315156010596116,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,503.8,0.440146275,2.3038450150381998e-4,0.0272135361440388,6.54005257107343e-5,0.41293273885596116,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,508.7,0.438352009534408,2.327179316034636e-4,0.0258793836824735,6.110980131276206e-5,0.4124726258519345,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,514,0.435980979534408,2.286556410219873e-4,0.0243557911824735,5.6636723955455484e-5,0.4116251883519345,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,519.7,0.434351473284408,2.323874903080674e-4,0.0229903424324735,5.8537780663106986e-5,0.4113611308519345,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,524.8,0.431540112146908,2.318143316832442e-4,0.0216536886824735,6.411813438927645e-5,0.4098864234644345,0.01669896535638975,2.049926096884982
