----,
DateTime:,      2022/05/18, 09:24:30, 1652891069,
PIF:,             35.20,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01000,
Gain:,           1,    5, 
S/N Ratio:,    96.64,
Position:,    0.0,        0.0,   NoData,
Cycles:,        2,
     1,        99,        100,        227,
   228,      3226,       3227,       3354,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,
    1,        0.8,    185.188,      27.827,
    2,        3.3,    188.745,      30.112,
    3,        5.8,    188.947,      32.350,
    4,        8.3,    189.276,      36.888,
    5,       10.8,    189.580,      38.956,
    6,       13.3,    189.783,      42.428,
    7,       15.8,    189.947,      46.594,
    8,       18.3,    190.137,      48.146,
    9,       20.8,    190.162,      51.810,
   10,       23.3,    190.150,      54.599,
   11,       25.8,    190.276,      55.638,
   12,       28.3,    190.302,      58.419,
   13,       30.8,    190.441,      59.091,
   14,       33.3,    190.529,      60.816,
   15,       35.8,    190.707,      63.228,
   16,       38.3,    190.694,      63.191,
   17,       40.8,    190.782,      65.808,
   18,       43.3,    190.833,      65.774,
   19,       45.8,    190.858,      66.803,
   20,       48.3,    190.846,      67.503,
   21,       50.8,    190.871,      67.492,
   22,       53.3,    190.985,      67.657,
   23,       55.8,    190.972,      67.804,
   24,       58.3,    191.036,      67.623,
   25,       60.8,    191.036,      70.057,
   26,       63.3,    191.137,      67.938,
   27,       65.8,    191.149,      69.495,
   28,       68.3,    191.149,      69.823,
   29,       70.8,    191.213,      67.902,
   30,       73.3,    191.301,      68.760,
   31,       75.8,    191.314,      69.113,
   32,       78.3,    191.327,      69.078,
   33,       80.8,    191.339,      69.083,
   34,       83.3,    191.403,      68.205,
   35,       85.8,    191.377,      69.937,
   36,       88.3,    191.365,      69.922,
   37,       90.8,    191.352,      69.212,
   38,       93.3,    191.390,      69.731,
   39,       95.8,    191.453,      68.146,
   40,       98.3,    191.491,      68.336,
   41,      100.8,    191.453,      69.902,
   42,      103.3,    191.466,      67.976,
   43,      105.8,    191.453,      69.878,
   44,      108.3,    191.542,      70.043,
   45,      110.8,    191.504,      70.385,
   46,      113.3,    191.529,      70.370,
   47,      115.8,    191.580,      68.638,
   48,      118.3,    191.555,      68.278,
   49,      120.8,    191.630,      68.454,
   50,      123.3,    191.580,      68.801,
   51,      125.8,    191.605,      70.012,
   52,      128.3,    191.618,      68.966,
   53,      130.8,    191.681,      69.457,
   54,      133.3,    191.656,      70.174,
   55,      135.8,    191.668,      69.111,
   56,      138.3,    191.694,      69.108,
   57,      140.8,    191.668,      70.682,
   58,      143.3,    191.744,      68.934,
   59,      145.8,    191.719,      69.103,
   60,      148.3,    191.706,      70.678,
