ap_corr1,ap_corr2,ap_corr3,ap_corr4,ap_corr5,ap_corr6,ap_corr7,ap_corr8,ap_corr9,ap_corr10,ap_corr11,ap_corr12,ap_corr13,ap_corr14,ap_corr15,ap_corr16,ap_corr17,ap_corr18,ap_corr19,ap_corr20,ap_corr21,ap_corr22,ap_corr23,ap_corr24,ap_corr25,ap_corr26,ap_corr27,ap_corr28,ap_corr29,ap_corr30,ap_corr31,ap_corr32,ap_corr33,ap_corr34,ap_corr35,ap_corr36,ap_corr37,ap_corr38,ap_corr39,ap_corr40,ap_corr41,ap_corr42,ap_corr43,ap_corr44,ap_corr45,ap_corr46,ap_corr47,ap_corr48,ap_corr49,ap_corr50,ap_corr51,ap_corr52,ap_corr53,ap_corr54,ap_corr55,ap_corr56,ap_corr57,ap_corr58,ap_corr59,ap_corr60,ap_corr61,ap_corr62,ap_corr63,ap_corr64,ap_corr65,ap_corr66,ap_corr67,ap_corr68,ap_corr69,ap_corr70,ap_corr71,ap_corr72,ap_corr73,ap_corr74,ap_corr75,ap_corr76,ap_corr77,ap_corr78,ap_corr79,ap_corr80
0.0705357204989499,0.082614671783257,0.0964769214508613,0.111216096286912,0.123884865105572,0.136016356350716,0.149223881075846,0.159266254159614,0.167018967432307,0.166447527834602,0.159980486953201,0.148987064450119,0.137097147798379,0.13315878215224,0.130673371098156,0.129989610751507,0.128398915655948,0.126086961647146,0.118112364545544,0.106811383511773,0.0902571265761786,0.0735358134614997,0.0596956723463986,0.048442784980162,0.0387120651741731,0.0303448628356462,0.0228623552002301,0.0164485089270711,0.0116409444301218,0.00751493970838774,0.00452743144688424,0.0022614018538353,0.000829477447976318,0.000125804127555168,0.000348108320647453,0.00150800603827951,0.00298579868494471,0.00449755813078095,0.00635626317403917,0.00783743640198595,0.00901455329898491,0.00991521250110187,0.0105755439888404,0.0113734210400731,0.0124551857779787,0.0141204515075986,0.0160333488218991,0.0187692025226738,0.0225965927294654,0.0273826640895614,0.0325578493804331,0.0365139649287925,0.0387129115435029,0.0414782816469581,0.0481098904837892,0.0589752681725983,0.0706613678862739,0.0783445683929254,0.0771894170440711,0.066562834100137,0.0493637691241446,0.0316777326247123,0.018155544751048,0.00969155080187986,0.00482680606041858,0.00229145706993079,0.00106615367536012,0.000289725406281527,0,7.75446104052113e-05,0.00012400226519152,0.000685925318363742,0.000126998577861456,0.000271724762539866,7.34731719909121e-13,9.60241382377269e-05,-0.000307549120121445,-0.000584513308381676,-0.000731923213222019,-0.000947776311499254
0.0696623873699188,0.0864898692720506,0.101610553582503,0.114195627507349,0.126946377843668,0.141734372331711,0.155195683935519,0.166506569975554,0.172998160646856,0.172014575371847,0.165521551611324,0.153526342217455,0.141251936862027,0.137807341421634,0.13476875849346,0.13429387649584,0.132824526813884,0.129460182775516,0.121268964110904,0.109627666682512,0.0929716175791104,0.075377887515736,0.0610485740359502,0.049145480903762,0.0388515256829764,0.0298589998236825,0.02207523173237,0.0155620547262177,0.0106675400723361,0.00647912232237155,0.0034982099200276,0.00111245430976191,-0.000219149884254449,-0.000751968031284148,-0.000401296314231733,0.000772267272212926,0.00229364619242381,0.0039704605557022,0.00594008315452479,0.00757754112093012,0.00878255761441581,0.00966463677719635,0.0104269759502772,0.0112886473227788,0.012418477206284,0.0143001047960774,0.0162546346920018,0.0191611660449449,0.0232603732221853,0.028231306633536,0.0335190469562802,0.0376407303314802,0.0399476373668238,0.0427903913988644,0.0496402116475111,0.0609471147139964,0.0733184167239801,0.0813406932906664,0.0800201332846329,0.0689540005553107,0.0509789016663754,0.0326871045570568,0.0188642109658466,0.0101326631297301,0.00509562103717745,0.00238719216948591,0.000979397870639748,0.000339024059916329,0,0.000106911270663534,0.000330795475435838,0.000249977969625156,0.000282984907897771,0.000526271277306478,1.27668135280617e-05,6.52654319477364e-12,-0.000256661709992306,-0.000389104732498424,-0.000733528540600589,-0.00121441106018166
0.0766495718373543,0.0952418029839691,0.111092409699584,0.126488661022902,0.139917626601291,0.15515474220519,0.169360517850915,0.182752181275506,0.189262859228626,0.188004253500839,0.18075716095478,0.16772015926184,0.156413961019279,0.150834702630819,0.148290747146986,0.146027319651895,0.143443738701627,0.140009203573616,0.131968359926287,0.119887044995127,0.102407024945658,0.0839450748533551,0.0682392801862567,0.0550430025591959,0.0431930566624805,0.033104645936313,0.0246406218200211,0.0174692957319396,0.0120718953085711,0.00766320671722857,0.00444649492460736,0.00200081304020178,0.000575413135252875,-2.90998969535994e-05,0.00039864402166577,0.00152534008385644,0.00315268820489895,0.00495562539229602,0.00685168906063072,0.00853819836613365,0.00949949054827576,0.0106389201304048,0.0112608577921269,0.0122735676034807,0.0134874090279937,0.0153566296406249,0.0174124641345045,0.0203680121095626,0.0245852561953201,0.0296846765556322,0.0349729643675069,0.039148321845331,0.0415027730748876,0.0447479151241349,0.0521863632483355,0.0642041582888283,0.0774191121387537,0.0860574453287018,0.084938339187986,0.0734052665298869,0.0546915993391377,0.0352610618077253,0.0205325857677436,0.0111542970663316,0.00583022122296341,0.00284981395698304,0.00126450243822082,0.000608883747995989,0,0.000362144395638433,0.00025503200119581,0.000186940503287228,0.000836163324545544,0.000165983106535136,3.27066257356096e-05,5.81021342149768e-12,-0.000641792092835061,-0.000703370378452986,-0.00109122934362908,-0.00178763076902284
0.0803905884082537,0.100988385748415,0.118977451219287,0.135296541760889,0.152741935289079,0.169772241396133,0.185988902405698,0.20086002922676,0.20801532389208,0.207713719412551,0.198110900451758,0.18527453130127,0.173093287599193,0.167883337208447,0.163880474592961,0.160655006906455,0.156705075964278,0.15228532259472,0.144328696569564,0.132108104134542,0.114409504370755,0.0939583387829797,0.0761899766735115,0.0602904366921171,0.0460395071970168,0.0341418626236204,0.0239971857246504,0.016135509687347,0.0101541936312707,0.00539702462165068,0.00192556335901767,-0.000505987038440264,-0.00205586417029474,-0.00263952186710106,-0.00214222127955452,-0.000739187522037013,0.0012417883370711,0.0031993785375249,0.00536234685573025,0.00728275862778918,0.00857456488418978,0.00982190048953903,0.010717386420195,0.0119087943855371,0.0132313448629225,0.0155261969361094,0.0178962952444457,0.0210987395368599,0.0254339027996956,0.0308840756046346,0.0365268709740843,0.0408541052587399,0.0434289992240395,0.047386902606318,0.0556598443202774,0.0691300523956543,0.0837529553722311,0.0932706420540436,0.0922482256557191,0.0799060721909877,0.0594133197796522,0.0383841078234017,0.0221015283790269,0.0119334434286232,0.00602584693468285,0.00263514416008508,0.00117559966347876,0.000425734216369322,0,0.000294962025991441,-6.53809355045942e-05,0.000396613695413356,0.000531400436536447,0.000397061151058045,5.63738083991794e-11,0.000200331844498969,-0.000279492795258629,-0.000340357304208866,-0.00113197726631555,-0.00105376841726236
0.0973686791401923,0.116077461461293,0.13553291029492,0.150974240607763,0.171498831476603,0.188522376900061,0.206718456260482,0.222388846769589,0.230983157207229,0.22955711429044,0.220424140350283,0.204180107408914,0.191394840265589,0.18489882100644,0.180317541054499,0.177025879090945,0.17337735447053,0.168508438453092,0.160035782091301,0.145903613158586,0.125604938161288,0.103000132948741,0.0834025527653127,0.0663446752607262,0.0511456186866791,0.0382090509022568,0.0275213963342782,0.0187485982377842,0.0119600553171365,0.00692144538924094,0.00310874505792039,0.000370876195686876,-0.00133604581627927,-0.00205546053425909,-0.00159827996338394,7.96139372126192e-05,0.00207553861204293,0.00444950689912252,0.00670238550966087,0.00882474039123773,0.0102695707318862,0.0115791111499522,0.012682006445103,0.013856507512303,0.0154422125425208,0.017792482124409,0.0204162920041372,0.0240410728452255,0.0286888690995309,0.0346608767032198,0.0407888879503825,0.0455763783612288,0.0484678083340409,0.0527288616432278,0.0618682426764312,0.0768257780806737,0.0930282097766276,0.103551971308691,0.10239045288378,0.0886472324620822,0.0658898981487311,0.0424907137015422,0.0242434928319357,0.0130794998485677,0.00643333957019898,0.0028134171672624,0.00101895199391307,0.000250643150732005,0,-9.8469008418034e-05,1.00055375783087e-05,0.000796449160609253,4.24507651253236e-12,0.000727717309724346,0.000283530316318309,0.000139066184688633,-3.70816960171272e-06,-0.000794340689833126,-0.00145758761139095,-0.00204772212298758
0.0928033890635672,0.115956769205288,0.135192147453184,0.154931185918474,0.17523270439921,0.196399212913667,0.215071363983544,0.23278851072799,0.242654332989889,0.2410717382493,0.231045668904242,0.213937244903503,0.197926934026977,0.191539948626692,0.186433629736414,0.185698246869677,0.18328269902694,0.178314788091328,0.168268748695328,0.150989183265254,0.127324875315889,0.102554303534761,0.0816387571829645,0.0645177047707007,0.0493566792049914,0.0367489239020511,0.0257088069073854,0.0164439644133479,0.00961588253135878,0.00412518519572408,-9.48129733681635e-05,-0.0028771155687761,-0.00467755773011258,-0.0052405666150408,-0.00444363048122584,-0.00236242447658075,8.04983916470325e-05,0.00279231272314798,0.00555267309041382,0.00804682494956077,0.0098958555097651,0.0114661576964875,0.0128053972505594,0.0142742114407799,0.0161597292644544,0.0189303165491662,0.0220174702906562,0.0262839700756109,0.0320090081097678,0.03907066264707,0.0464646975405498,0.0520383790387242,0.0554439110902725,0.0601362752872317,0.0703406906854329,0.0870083185507785,0.105092605287177,0.11684458331414,0.115175876146239,0.0993794806927532,0.0735975395835241,0.0473838550969738,0.0270170829868749,0.014667760468938,0.00745267386791101,0.00341870799769033,0.00149636623794774,0.000497219985471253,0,-3.58002130304708e-05,0.000108545642133834,0.00069151980353982,2.19066570439352e-11,0.000363451147157343,4.0008710353992e-05,0.000274145539471138,-0.000178541259877374,-0.000539385641443568,-0.000764993342064521,-0.00107512684619795
0.0956756977751189,0.115173080861437,0.136288524734809,0.158665938318358,0.180266789982855,0.202227881222482,0.222418707077016,0.240785658807942,0.25185373819807,0.250462763192134,0.241065693289514,0.222000031601972,0.2052418201053,0.197930465690739,0.194268137101735,0.193935959320862,0.192600685797671,0.186898385445975,0.176082948328058,0.15718601934829,0.131740320811425,0.105185999000283,0.0838623124726772,0.0665208264859039,0.051209477828418,0.0383002064084934,0.0271669039247926,0.0175368936524585,0.0104819551279409,0.00443369762873932,7.37352070193376e-05,-0.00300833057159847,-0.00482867385665733,-0.00541072912955939,-0.00449034179876334,-0.00233565923964885,0.000431059777985854,0.00340394722130066,0.00643556017793473,0.00923116732067319,0.0111975272510228,0.0129671586406197,0.0144658768157714,0.0157769535452387,0.017885761744874,0.0206886198827735,0.0241945176804635,0.0286891196202696,0.0349372281097118,0.042878873491499,0.0512029382600873,0.0575306286490992,0.0612820856914255,0.0661108429040967,0.0767683555966382,0.0942904328860383,0.113353560969089,0.12564879980268,0.123618679344088,0.106441200743676,0.0786611004879471,0.0505193740908737,0.0288339169124517,0.0155028903017076,0.00781776201815951,0.00364127987642664,0.00138561258217679,0.000474366181527255,0,-3.34847040658198e-05,0.000224633332067514,0.000362871177731608,0.00046450666393387,0.000637558253722623,0.000262517302355866,-8.86905826558149e-12,-0.000314992024583571,-0.000506528172601661,-0.000873111895490788,-0.00140894217196214
0.0996055303195583,0.12193216869965,0.142125222016139,0.161303538930958,0.183974866975801,0.204194670352924,0.223355699397492,0.242333358371038,0.253046428525702,0.252044911034876,0.24159726891713,0.222558879546347,0.207033802851294,0.199424244397855,0.196113116872232,0.195100434590351,0.19393902800629,0.189169191852241,0.1781082700426,0.159079406731769,0.134053249122856,0.108484786271747,0.0873913967312672,0.0704755886154811,0.0556637299321701,0.0428322630357934,0.0316981712414359,0.0222305209465412,0.0148614112658172,0.00877988439115807,0.00421371323598613,0.000948995181594192,-0.000958290091522596,-0.00182951437262069,-0.00114822841434623,0.000807982448759709,0.003136842123342,0.0059537318242413,0.00876572342983603,0.0113420825461772,0.0130761887616838,0.0146288431042241,0.0159738925778533,0.0172101520628489,0.0189384182369439,0.021721042757382,0.0247406772695136,0.0290587812897767,0.0351013567260986,0.0426121454114809,0.0506628346995954,0.0567832373428869,0.0603799764518482,0.0648635732393032,0.0751751547909848,0.0922214684348212,0.110745605796893,0.122592913756806,0.120825046182507,0.10406304278749,0.0769769725520229,0.0495970897581327,0.0284659057147012,0.01536798863079,0.00775742846526022,0.00358782626092621,0.00169128078643421,0.000445960837623688,0,0.000347798998658402,0.000268835090836098,0.000897698574252898,0.000310733609057395,0.000443836359502056,0.000631101420972335,3.29065802384676e-11,-0.000386410259207298,-0.000392021024899283,-0.00146199394525891,-0.00164132347281938
0.0925656009869925,0.114115437847323,0.134944388884156,0.157054449374339,0.177706115219699,0.198341993900038,0.219454309405227,0.238459076522116,0.249378184520275,0.248856322245312,0.237906189978642,0.219755797672148,0.203125833627773,0.195613726070589,0.192363607401658,0.191306530908399,0.190294948105062,0.185565074957189,0.174545878953907,0.155872792874188,0.130620828655378,0.104345724725666,0.0834460298209375,0.0667070072272233,0.0520169054184246,0.0392028336771587,0.0281288239547119,0.0187836334239207,0.0115896162483106,0.00557923276794145,0.000998632601170141,-0.00208227730789273,-0.00397126609671805,-0.00450835261893631,-0.00374251394963382,-0.00161197307870825,0.000887762615564169,0.00380799854370356,0.00679090251542985,0.0094320822705537,0.0113004924607387,0.013108955984052,0.0143131002435711,0.0157609821796659,0.0176486164211381,0.0204603836570819,0.0238384178236029,0.0283057775712237,0.0345500897819712,0.0422264111299139,0.0504916099991551,0.0568023275474954,0.0604159162186477,0.0650865744987596,0.0755502991641707,0.0928853000268775,0.111671541818234,0.12381768332058,0.121764771973225,0.104726655665449,0.0773112528383871,0.0495499975760089,0.0283245625049762,0.015166862900846,0.00736941642554034,0.00354071852900695,0.00134730773413334,0.0002692456238651,0,-7.85739550940717e-05,-4.84197404393427e-12,0.000703192634216504,0.000117154310585885,0.000579681542591956,2.1518215335109e-05,2.92997303112524e-05,-0.000347730605230467,-0.000261938461311881,-0.000716393443774221,-0.000831571945885248
0.102677717592469,0.127843365852993,0.148687534364116,0.170978786747039,0.193311124659859,0.214723547151472,0.236012637303818,0.254950899691588,0.267064241148806,0.265098501930781,0.253067109596883,0.234483449978647,0.216804966978943,0.209057918367191,0.205599971781757,0.204136678539336,0.203211864122873,0.198741612372052,0.186015341455519,0.166228060024766,0.139830905300912,0.112461990485971,0.0904378583340071,0.0726138070304,0.0566782036318181,0.0434675791605029,0.0317372157722738,0.0219468399140481,0.0141552738310332,0.00775367378814798,0.00301406153567482,-0.000311347071276419,-0.00242817273579274,-0.00310941938883397,-0.00247434343248784,-0.000367169293131853,0.00217171010186862,0.00520620691668147,0.00819281287324161,0.0109113752450589,0.0128385648850505,0.0146702346519798,0.0159015839385744,0.0173157150353286,0.0192612124643231,0.0221813366537495,0.0255511430982679,0.0301347607609097,0.0365752585624174,0.0447403997379609,0.0533820276197141,0.0598526599571736,0.063756236960462,0.0684819333900892,0.0794848502752902,0.0975285255909155,0.117273297425308,0.129981417136168,0.127875963314339,0.110077785929438,0.0813232865341531,0.05211250636244,0.0300012801288726,0.0160870537521434,0.0081647193253556,0.00382549107192594,0.00161518273467379,0.000607158540612288,0,9.37355733484635e-05,0.000514458671403928,0.000540947995294125,0.000812206474514826,0.000558580945654377,-1.63473956593663e-11,0.000439757254040177,-0.000150449573296033,-0.000331321842519119,-0.000756470604333703,-0.00116374220926257
