amps1,amps2,amps3,amps4,amps5,amps6,amps7,amps8,amps9,amps10,amps11,amps12,amps13
0,0.0293716067894933,0.0581256527848463,0.023468134444499,0.0341631616006306,0.0302736295079024,0,0,0,0.00211706524183082,0.00958894082025065,0.0075597156671739,0.0328120190616984
0,0.0301270272971161,0.0609574388993959,0.0234203762086301,0.0358985370615642,0.03173942715031,0.00120768719960473,0,0.00137799434343902,0.00137352773071087,0.00884208866191121,0.0103759666477391,0.029885869353109
0,0.027377605372387,0.0583148463133077,0.0236251088334388,0.0338398222891956,0.0302272843595254,0,0,0,0.00152401333031009,0.00926303475187264,0.00771137707194327,0.0315946774973056
0,0.0273964055497776,0.0592098565812636,0.0237469906519659,0.0346585130836048,0.0295643343628846,0,0,0,0.00161426191175007,0.00885822127811998,0.00752891173758401,0.0327120003980351
0,0.0270247935112855,0.0623237491521696,0.0226785164278873,0.0382106687121804,0.0285863273655745,0,0,0,0.00154356682762448,0.00868636677199203,0.00902691222956846,0.0324886693282008
0,0.0263205316102534,0.0659130842864861,0.023063587659842,0.039790043280279,0.0297923655766011,0,0,0,0.00152389869643977,0.00995726958606703,0.00893610858362447,0.0357571925328395
0,0.0259153415998597,0.0699823618790872,0.0192778851546177,0.0467437150701727,0.0266912866697012,0,0,0,0.00210096905595112,0.0094595809418706,0.0119646625789456,0.0356038691868921
0,0.0302947793672858,0.0707128305239131,0.0246230298641035,0.0429091013031166,0.0327432896961615,0,0,0,0.0025673262007377,0.0105271639685362,0.0114966656644873,0.0366306707879143
0,0.0271573477221005,0.0701827727767782,0.0222224008202824,0.0434775227283241,0.0297787222992341,0,0,0,0.00161652913079568,0.0103960085239461,0.0102223849195275,0.037792861253151
0,0.0291953608898202,0.06877338869027,0.0239994695700907,0.0414976157885809,0.0323351893461853,0,0,0,0.00232553107251469,0.0105610537089908,0.010351833544763,0.0365626622881448
0,0.0323078526750549,0.0705006529965106,0.0266760433800992,0.04202357461017,0.0348898942598616,0,0,0,0.00225697789008393,0.0113533383577941,0.0103706483059588,0.0380244673502437
0,0.031725252576761,0.0701188290046398,0.0252000989637742,0.0431245709821039,0.0331291733868662,0,0,0,0.00225338209106264,0.0109813873543173,0.0108134431827686,0.0389343786216926
